"","stat","w.t50","alpha","beta","w.r2","trim"
"RMSE","RMSE",0.79,0.28,1.38,0.06,"yes"
"R2","R2",0,0.01,0.03,0.53,"yes"
"Avg.Bias","Avg.Bias",-0.05,0.03,-0.14,0.01,"yes"
"Max.Bias","Max.Bias",1.52,0.67,2.26,0.09,"yes"
"Skill","Skill",-34.32,-28.26,-52.71,-132.23,"yes"
"delta.RMSE","delta.RMSE",15.9,13.25,23.58,52.39,"yes"
"p","p",0.83,0.76,0.99,1,"yes"
"RMSE1","RMSE",0.79,0.29,1.48,0.06,"no"
"R21","R2",0,0.01,0.18,0.63,"no"
"Avg.Bias1","Avg.Bias",0.04,0.03,-0.03,0,"no"
"Max.Bias1","Max.Bias",1.4,0.74,2.36,0.12,"no"
"Skill1","Skill",-31.85,-38.72,-75.33,-149.9,"no"
"delta.RMSE1","delta.RMSE",14.83,17.78,32.41,58.08,"no"
"p1","p",0.84,0.79,0.99,1,"no"
