"","term","df","Fval","pval"
"1","size",1,1.63,0.018
"2","waterperc",1,1.62,0.029
"3","barkthick",1,1.66,0.024
"4","Residual",29,NA,NA
"5",NA,NA,NA,NA
"6","Constrained inertia",1.77,NA,NA
"7","Unconstrained inertia",8.99,NA,NA
