"","term","df","Fval","pval"
"1","size",1,1.38,0.022
"2","barkthick",1,1.66,0.003
"3","waterperc",1,1.4,0.018
"4","Residual",29,NA,NA
"5",NA,NA,NA,NA
"6","Constrained inertia",1.9,NA,NA
"7","Unconstrained inertia",11.14,NA,NA
