"","term","df","Fval","pval"
"1","size",1,3.12,0.001
"2","waterperc",1,3.1,0.001
"3","C",1,2.88,0.001
"4","barkthick_smspp",1,2.53,0.001
"5","Ca",1,2.03,0.007
"6","N",1,1.88,0.006
"7","Mn",1,1.79,0.006
"8","P",1,1.56,0.035
"9","Residual",48,NA,NA
"10",NA,NA,NA,NA
"11","Constrained inertia",6.68,NA,NA
"12","Unconstrained inertia",15.13,NA,NA
