"","time7","time13","time25","time37","time59"
"Fstat",7.16,1.56,3.65,7.03,1.13
"numdf",1,7,6,1,7
"dendf",35,27,27,32,28
"r.squared",0.17,0.29,0.45,0.18,0.22
