"","slice","community","respVar","n.asvs1","n.samples1","comp1.p","comp1.r2"
"126","C2_resid","patho","w.t50",72,12,"ns",0.01
"127","C2_resid","sapro","alpha",95,12,"ns",0.31
"128","C2_resid","sapro","beta",95,12,"ns",0.18
"129","C2_resid","sapro","w.r2",95,12,"ns",0.25
"130","C2_resid","sapro","w.t50",95,12,"ns",0.2
"131","S1_resid","all","time13",2535,63,"ns",0.03
"132","S1_resid","all","time25",2572,63,"ns",0
"133","S1_resid","all","time37",2514,61,"ns",0
"134","S1_resid","all","time59",2606,65,"ns",0
"135","S1_resid","all","time7",2619,65,"ns",0.04
"136","S1_resid","basid","time13",374,62,"ns",0.06
"137","S1_resid","basid","time25",388,62,"ns",0.07
"138","S1_resid","basid","time37",368,60,"ns",0.05
"139","S1_resid","basid","time59",393,64,"ns",0.02
"140","S1_resid","basid","time7",396,64,"ns",0.04
"141","S1_resid","oo","time13",6,6,"ns",0.07
"142","S1_resid","oo","time25",6,6,"ns",1
"143","S1_resid","oo","time37",7,7,"ns",0.01
"144","S1_resid","oo","time59",7,7,"ns",0.42
"145","S1_resid","oo","time7",6,6,"ns",0.95
"146","S1_resid","patho","time13",91,63,"ns",0
"147","S1_resid","patho","time25",88,63,"ns",0
"148","S1_resid","patho","time37",89,61,"ns",0.04
"149","S1_resid","patho","time59",93,65,"ns",0
"150","S1_resid","patho","time7",92,65,"ns",0
"151","S1_resid","sapro","time13",125,63,"ns",0.02
"152","S1_resid","sapro","time25",127,63,"ns",0
"153","S1_resid","sapro","time37",123,61,"ns",0.03
"154","S1_resid","sapro","time59",129,65,"ns",0.09
"155","S1_resid","sapro","time7",131,65,"ns",0.02
"156","S2_resid","all","time13",1916,35,"ns",0
"157","S2_resid","all","time25",1925,34,"ns",0.02
"158","S2_resid","all","time37",1910,34,"ns",0.07
"159","S2_resid","all","time59",1947,36,"ns",0.08
"160","S2_resid","all","time7",1969,37,"ns",0.12
"161","S2_resid","basid","time13",273,34,"ns",0
"162","S2_resid","basid","time25",281,33,"ns",0.06
"163","S2_resid","basid","time37",270,33,"ns",0.04
"164","S2_resid","basid","time59",285,35,"ns",0
"165","S2_resid","basid","time7",287,36,"ns",0
"166","S2_resid","oo","time13",4,3,NA,NA
"167","S2_resid","oo","time25",3,2,NA,NA
"168","S2_resid","oo","time37",4,3,NA,NA
"169","S2_resid","oo","time59",4,3,NA,NA
"170","S2_resid","oo","time7",4,3,NA,NA
"171","S2_resid","patho","time13",71,35,"ns",0.31
"172","S2_resid","patho","time25",70,34,"ns",0
"173","S2_resid","patho","time37",67,34,"ns",0.03
"174","S2_resid","patho","time59",71,36,"ns",0.17
"175","S2_resid","patho","time7",72,37,"ns",0.04
"176","S2_resid","sapro","time13",94,35,"ns",0.14
"177","S2_resid","sapro","time25",94,34,"ns",0.01
"178","S2_resid","sapro","time37",91,34,"ns",0.01
"179","S2_resid","sapro","time59",92,36,"ns",0.07
"180","S2_resid","sapro","time7",95,37,"ns",0.03
