"","community","respVar","n.asvs1","n.samples1","comp1.p","comp1.signif","comp1.r2","slice"
"1","all","time13",1916,35,0.994,FALSE,0.00151421788605598,"S2_resid"
"2","all","time25",1925,34,0.89,FALSE,0.0231815748740292,"S2_resid"
"3","all","time37",1910,34,0.699,FALSE,0.0728836824362278,"S2_resid"
"4","all","time59",1947,36,0.606,FALSE,0.0762543037110447,"S2_resid"
"5","all","time7",1969,37,0.427,FALSE,0.121232130200274,"S2_resid"
"6","basid","time13",273,34,0.989,FALSE,0.00279071708026684,"S2_resid"
"7","basid","time25",281,33,0.669,FALSE,0.0579771527458734,"S2_resid"
"8","basid","time37",270,33,0.746,FALSE,0.039352457271203,"S2_resid"
"9","basid","time59",285,35,0.86,FALSE,0.00307396919873,"S2_resid"
"10","basid","time7",287,36,0.976,FALSE,0.00470822512579319,"S2_resid"
"11","oo","time13",4,3,NA,NA,NA,"S2_resid"
"12","oo","time25",3,2,NA,NA,NA,"S2_resid"
"13","oo","time37",4,3,NA,NA,NA,"S2_resid"
"14","oo","time59",4,3,NA,NA,NA,"S2_resid"
"15","oo","time7",4,3,NA,NA,NA,"S2_resid"
"16","patho","time13",71,35,1,FALSE,0.306803803308137,"S2_resid"
"17","patho","time25",70,34,0.886,FALSE,0.000234125557288958,"S2_resid"
"18","patho","time37",67,34,0.829,FALSE,0.0280629176728488,"S2_resid"
"19","patho","time59",71,36,0.282,FALSE,0.166448075500942,"S2_resid"
"20","patho","time7",72,37,0.989,FALSE,0.0359779740685633,"S2_resid"
"21","sapro","time13",94,35,0.996,FALSE,0.14357700461945,"S2_resid"
"22","sapro","time25",94,34,0.965,FALSE,0.0140738005644341,"S2_resid"
"23","sapro","time37",91,34,0.995,FALSE,0.0149103229709418,"S2_resid"
"24","sapro","time59",92,36,0.609,FALSE,0.0737727869955516,"S2_resid"
"25","sapro","time7",95,37,0.743,FALSE,0.0289961609860292,"S2_resid"
