"","community","respVar","n.asvs1","n.samples1","comp1.p","comp1.signif","comp1.r2","slice"
"1","all","time13",1916,35,0.916,FALSE,0.0210824253341013,"S2"
"2","all","time25",1925,34,0.116,FALSE,0.308942893383554,"S2"
"3","all","time37",1910,34,0.21,FALSE,0.252953370345167,"S2"
"4","all","time59",1947,36,0.452,FALSE,0.11619025668412,"S2"
"5","all","time7",1969,37,0.432,FALSE,0.154218654136445,"S2"
"6","basid","time13",273,34,0.945,FALSE,0.000569617021245932,"S2"
"7","basid","time25",281,33,0.014,TRUE,0.390261350994582,"S2"
"8","basid","time37",270,33,0.404,FALSE,0.140474971326131,"S2"
"9","basid","time59",285,35,0.888,FALSE,0.00539898897951356,"S2"
"10","basid","time7",287,36,0.878,FALSE,0.00162641942810517,"S2"
"11","oo","time13",4,3,NA,NA,NA,"S2"
"12","oo","time25",3,2,NA,NA,NA,"S2"
"13","oo","time37",4,3,NA,NA,NA,"S2"
"14","oo","time59",4,3,NA,NA,NA,"S2"
"15","oo","time7",4,3,NA,NA,NA,"S2"
"16","patho","time13",71,35,1,FALSE,0.18735459926645,"S2"
"17","patho","time25",70,34,0.345,FALSE,0.171174539798183,"S2"
"18","patho","time37",67,34,0.533,FALSE,0.140932066577742,"S2"
"19","patho","time59",71,36,0.043,TRUE,0.333479884281693,"S2"
"20","patho","time7",72,37,0.988,FALSE,0.0228903198849282,"S2"
"21","sapro","time13",94,35,0.981,FALSE,0.0213749079280834,"S2"
"22","sapro","time25",94,34,0.582,FALSE,0.0981633224618019,"S2"
"23","sapro","time37",91,34,0.675,FALSE,0.066668642512036,"S2"
"24","sapro","time59",92,36,0.549,FALSE,0.0769336708526031,"S2"
"25","sapro","time7",95,37,0.804,FALSE,0.000346436934352446,"S2"
