"","stat","time7","time13","time25","time37","time59","trim"
"RMSE","RMSE",0.05,0.05,0.09,0.15,0.15,"yes"
"R2","R2",0,0.01,0.1,0.1,0.1,"yes"
"Avg.Bias","Avg.Bias",0,0,0,-0.01,0,"yes"
"Max.Bias","Max.Bias",0.15,0.12,0.16,0.22,0.3,"yes"
"Skill","Skill",-23.16,-23.75,-8.3,-4.18,2.13,"yes"
"delta.RMSE","delta.RMSE",10.98,11.24,4.07,2.07,-1.07,"yes"
"p","p",0.96,0.93,0.64,0.57,0.48,"yes"
"RMSE1","RMSE",0.04,0.06,0.1,0.16,0.14,"no"
"R21","R2",0.14,0.01,0.02,0.04,0.24,"no"
"Avg.Bias1","Avg.Bias",0,0.01,0,0,0.01,"no"
"Max.Bias1","Max.Bias",0.12,0.13,0.15,0.26,0.24,"no"
"Skill1","Skill",6.69,-61.18,-37.95,-24.92,18.25,"no"
"delta.RMSE1","delta.RMSE",-3.41,26.96,17.45,11.77,-9.59,"no"
"p1","p",0.34,1,0.88,0.82,0.13,"no"
