"","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin","waterperc_se","density_se","barkthick_se","C_se","N_se","P_se","K_se","Ca_se","Fe_se","Mn_se","Zn_se","Arabinose_se","Galactose_se","Glucose_se","Mannose_se","Rhamnose_se","Xylose_se","Lignin_se","Binomial"
"1","ACPA","acpa","large",37.1399430085211,NA,NA,49.393,0.254583333333333,75.3256666666667,744.637666666667,3303.23933333333,23.9816666666667,4.676,3.58,0.783833333333333,1.303,47.756,1.831,0.414,17.2401666666667,24.5175,0.422098220636524,NA,NA,0.208471420903042,0.0149343098639044,29.6861994049611,78.1073161795858,651.825509634885,5.11533154133511,0.906942850092184,0.983067817260505,0.0604161494230732,0.235555372117329,0.536926981379531,0.0892389115427421,0.0167107749670684,0.266650884949674,0.576368588665274,"Acacia parramattensis"
"2","ALLI","alli","large",44.3993179375516,NA,NA,50.061,0.18033,44.6863333333333,775.932,4842.33533333333,35.5136666666667,59.5966666666667,36.0053333333333,1.18,1.17533333333333,44.6005,1.525,0.345166666666667,16.215,29.5645,0.572731051465931,NA,NA,0.0614356031412836,0.00584563369818306,11.9715433749278,270.358739801398,292.494751646552,2.84693884335048,14.7509870667845,8.44541566637059,0.0470540469389545,0.0505316182646513,0.376555883413514,0.143875814506817,0.0454700756297785,0.607664449621116,0.436946507023457,"Allocasuarina littoralis"
"3","ANBA","anba","large",63.534970375481,NA,NA,49.3576666666667,0.298433333333333,142.542,2281.40566666667,5311.014,54.835,104.601,28.524,1.10266666666667,1.73183333333333,42.5593333333333,0.7975,0.349166666666667,13.8345,31.37,0.303801559295206,NA,NA,0.249811484479353,0.0326848213157797,27.3931499709934,436.216819200549,993.841869887928,10.1423516668144,32.8629950095849,6.35715793417153,0.0555340236051538,0.101595740286906,0.528732315175753,0.0210732848254214,0.0066478902250597,0.0710146698459786,0.491489148744235,"Angophora bakeri"
"4","BAAE","baae","large",60.2618598061767,NA,NA,51.116,0.134983333333333,178.339333333333,1445.119,1393.73733333333,25.6366666666667,160.951,3.90533333333333,0.977333333333333,1.64466666666667,38.6351666666667,0.902,0.342166666666667,13.2636666666667,37.8713333333333,0.694468904375982,NA,NA,0.271245890905896,0.016949514578431,20.6419351832892,30.8594711609472,346.302820653318,4.34743147668189,42.4923561635894,0.659035237634866,0.0458415144213675,0.100177481390669,0.291913562168286,0.0418608807042247,0.0127060790350306,0.466699790491109,1.64169537199946,"Banksia aemula"
"5","EUSC","eusc","large",57.048619583043,NA,NA,50.5436666666667,0.190023333333333,62.7166666666667,821.613666666667,3726.573,7.72233333333333,230.413,9.45333333333333,0.847,2.0135,39.603,0.704666666666667,0.332666666666667,13.4558333333333,34.7711666666667,0.263867172654342,NA,NA,0.241009220662707,0.014298056200446,11.1119632278809,74.8771365467754,400.432373866466,2.03207876597122,11.163123681718,0.768045426897249,0.0347311099736245,0.0964835910055867,0.391302632242617,0.0586631154228201,0.00927511605198435,0.14299951437369,0.392620292960571,"Eucalyptus sclerophylla"
"6","EUTE","eute","large",48.5860945988348,NA,NA,52.2746666666667,0.233136666666667,102.675,131.892333333333,5099.43533333333,12.7616666666667,185.371,18.119,0.793833333333333,2.035,38.4338333333333,0.6735,0.407333333333333,11.1721666666667,38.803,0.415978809519858,NA,NA,0.623611078940856,0.0257174845408938,47.1273986975729,82.2106004769323,1208.38708976668,4.03663772354061,59.6320103412029,2.20585516296968,0.0737124669087786,0.320333550121328,1.10980543840401,0.066289139381953,0.0422870481878843,0.209908776482653,2.23141392021591,"Eucalyptus tereticornis"
"7","EXCU","excu","large",46.7327635647167,NA,NA,50.4176666666667,0.197326666666667,107.219,2112.49266666667,4083.153,12.2256666666667,66.5303333333333,6.61866666666667,1.30816666666667,2.2325,39.8425,1.91533333333333,0.500166666666667,16.0426666666667,29.0581666666667,0.758065510379543,NA,NA,0.338294907505929,0.0059502782381256,14.4275443625495,199.452782337352,347.789994446361,0.648322279254522,4.61737083679061,1.02375523333352,0.0301002953104746,0.0482217101867337,0.214419176692135,0.223681755576484,0.0165336357499224,0.478712712502093,0.74315147252166,"Exocarpos cupressiformis"
"8","JASC","jasc","large",42.3282928522459,NA,NA,51.86,0.58882,92.3443333333333,380.157,738.169666666667,53.7393333333333,192.647,9.05566666666667,1.68866666666667,1.35266666666667,42.4688333333333,1.57683333333333,0.383166666666667,14.152,32.3933333333333,0.490279958332292,NA,NA,0.362352038768929,0.0524091712711938,5.13861084773351,133.991929607719,110.072311587025,12.699184558248,47.346720206719,3.64002977704548,0.0124977775802117,0.0452413282052791,0.814738830000821,0.173226810216484,0.0296259083311288,0.264319409048977,0.608149675472888,"Jacksonia scoparia"
"9","LEPA","lepa","large",45.8402063097253,NA,NA,53.6,0.2481675,75.25725,216.13375,721.4775,63.44475,41.78025,4.147,1.08633333333333,1.62433333333333,30.9411666666667,1.70333333333333,0.272166666666667,12.2473333333333,47.0228333333333,0.966565487216791,NA,NA,0.275848086211716,0.00871360657726371,27.0478599257409,136.309299454326,142.253349069246,2.3994049739814,9.08390248713808,0.579431186595958,0.0635880841388105,0.105223703497728,2.03561400101078,0.282480136961482,0.0324298387976944,0.35592699782087,1.67971253327599,"Leptospermum parvifolium"
"10","MEDE","mede","large",49.3757784565733,NA,NA,52.305,0.36265,50.855,438.406,676.656333333333,31.1406666666667,57.2013333333333,4.012,0.751666666666667,1.95233333333333,44.3433333333333,1.53783333333333,0.220833333333333,10.44,37.2111666666667,0.49922180223627,NA,NA,0.29197773887747,0.00587608996981268,7.58172436410961,90.7620644762998,28.319782027959,6.19155579084216,6.24953012455959,1.46595679790822,0.0566173805273414,0.295897551715304,1.20128168821657,0.190388710566333,0.0267088208483847,0.673545160574503,0.882587782854739,"Melaleuca decora"
