"","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin","waterperc_sd","density_sd","barkthick_sd","C_sd","N_sd","P_sd","K_sd","Ca_sd","Fe_sd","Mn_sd","Zn_sd","Arabinose_sd","Galactose_sd","Glucose_sd","Mannose_sd","Rhamnose_sd","Xylose_sd","Lignin_sd","waterperc_n","density_n","barkthick_n","C_n","N_n","P_n","K_n","Ca_n","Fe_n","Mn_n","Zn_n","Arabinose_n","Galactose_n","Glucose_n","Mannose_n","Rhamnose_n","Xylose_n","Lignin_n"
"1","acel","acel","small",32.7336267311847,0.558954202037217,2.05,51.1775,0.74868,7.182,651.4925,2806.772,2295.9395,45.1585,9.025,NA,NA,NA,NA,NA,NA,NA,2.30960370168263,0.0125371199742877,0.98086696345631,0.767210857587405,0.0923481456229631,10.1568818049636,77.8545779289824,623.825158711958,325.592267144814,10.4828580310906,1.71119841047144,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
"2","acpa","acpa","small",37.2516022664735,0.699997916887211,1.68,50.68325,0.57537,69.14875,1666.80525,5266.82,3522.069,39.58025,16.18425,NA,NA,NA,NA,NA,NA,NA,0.0555472707232741,0.0327113101180393,0.636631761695879,1.17061646864661,0.0364990748741207,23.5709252310977,444.636154645852,2211.60279008837,1497.53283095831,16.7114282727918,6.19363035034112,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA
"3","ACPA","acpa","large",37.1399430085211,NA,NA,49.393,0.254583333333333,75.3256666666667,744.637666666667,3303.23933333333,23.9816666666667,4.676,3.58,0.783833333333333,1.303,47.756,1.831,0.414,17.2401666666667,24.5175,1.74035554806966,NA,NA,0.361083092930146,0.0258669834602594,51.4180056530135,135.285840065889,1128.9949003571,8.86001412715202,1.57087109592099,1.70272340678103,0.104643840398436,0.407993872503007,0.929984811703935,0.154566328804174,0.0289439112768126,0.461852880616038,0.998299679455022,17,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"4","alli","alli","small",39.7334160419577,0.61880208463851,2.50333333333333,49.894,0.34506,256.087333333333,2928.115,7652.384,1942.10533333333,113.549333333333,13.817,NA,NA,NA,NA,NA,NA,NA,2.47445065644471,0.0571910721355676,0.800895332320856,0.273643929221901,0.0665030924093008,179.491262796642,1361.98207308613,1610.66935242246,645.769822293775,22.8124489113583,5.43689626533374,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"5","ALLI","alli","large",44.3993179375516,NA,NA,50.061,0.18033,44.6863333333333,775.932,4842.33533333333,35.5136666666667,59.5966666666667,36.0053333333333,1.18,1.17533333333333,44.6005,1.525,0.345166666666667,16.215,29.5645,2.29092420586373,NA,NA,0.106409586034341,0.0101249345676898,20.7353213703895,468.275073606315,506.615770799068,4.93104272272441,25.5494590614622,14.627889025192,0.0815,0.0875233302230515,0.65221392196119,0.249200220706162,0.0787564812147758,1.05250570069715,0.756813550354379,16,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"6","anba","anba","small",45.8582815034428,0.504743792791708,1.38,50.063,0.355005,98.9125,3214.2055,6730.3555,5951.617,168.8045,53.2995,NA,NA,NA,NA,NA,NA,NA,5.85294294593305,0.0362804883881374,0.558300994088315,0.323854905783438,0.0422496301758962,6.85257181647883,714.894148167755,4072.00380000369,6644.26240138196,59.5546544318746,23.9645559211933,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
"7","ANBA","anba","large",63.534970375481,NA,NA,49.3576666666667,0.298433333333333,142.542,2281.40566666667,5311.014,54.835,104.601,28.524,1.10266666666667,1.73183333333333,42.5593333333333,0.7975,0.349166666666667,13.8345,31.37,1.25260591820148,NA,NA,0.432686183432443,0.0566117711552406,47.4463275291144,755.549693971438,1721.38461333515,17.5670683951535,56.9203770454835,11.0109205337247,0.0961877504328557,0.175968984009493,0.915791233487925,0.0365,0.0115144836329439,0.123001016255964,0.851284176993792,17,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"8","baae","baae","small",46.1068719712046,0.54102492789533,1.44,51.617,0.185493333333333,69.862,1775.52033333333,1947.907,1443.026,272.439,4.78033333333333,NA,NA,NA,NA,NA,NA,NA,1.72709476572434,0.0360725541127759,0.532541078227774,0.715572498074096,0.06709359308707,88.2748134124338,268.271995438088,988.57447572401,830.391304290333,143.533185894413,1.66541476315461,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"9","BAAE","baae","large",60.2618598061767,NA,NA,51.116,0.134983333333333,178.339333333333,1445.119,1393.73733333333,25.6366666666667,160.951,3.90533333333333,0.977333333333333,1.64466666666667,38.6351666666667,0.902,0.342166666666667,13.2636666666667,37.8713333333333,2.68966650110709,NA,NA,0.469811664393296,0.0293574204134718,35.7528805040004,53.4501719454671,599.81408017596,7.52997220003722,73.5989198086494,1.14148251556182,0.0793998320737099,0.173512487542924,0.505609121093887,0.0725051722292969,0.0220075744536587,0.808347749012351,2.84349979485375,15,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"10","basp","basp","small",41.2038580917218,0.68399472396004,1.54333333333333,51.316,0.18218,95.894,1006.151,893.499,4932.894,189.631,5.359,NA,NA,NA,NA,NA,NA,NA,2.01165587166187,0.0156559988637535,0.520032050294338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
