"","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin","waterperc_sd","density_sd","barkthick_sd","C_sd","N_sd","P_sd","K_sd","Ca_sd","Fe_sd","Mn_sd","Zn_sd","Arabinose_sd","Galactose_sd","Glucose_sd","Mannose_sd","Rhamnose_sd","Xylose_sd","Lignin_sd","waterperc_n","density_n","barkthick_n","C_n","N_n","P_n","K_n","Ca_n","Fe_n","Mn_n","Zn_n","Arabinose_n","Galactose_n","Glucose_n","Mannose_n","Rhamnose_n","Xylose_n","Lignin_n"
"11","cali","cali","small",40.9751903489837,0.698643410789742,3.29666666666667,50.82,0.12946,0,2011.128,1347.053,2024.275,32.084,5.258,NA,NA,NA,NA,NA,NA,NA,2.65995787926876,0.0448856203172915,0.167729941672123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"12","cota","cota","small",28.4807550309914,0.677295679372569,1.62333333333333,50.518,0.25475,149.404,336.485,940.237,4755.687,73.073,71.377,NA,NA,NA,NA,NA,NA,NA,2.41883471995015,0.0122868240738391,0.519358578761662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"13","eusc","eusc","small",46.4586297127767,0.573270962131623,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09742919879017,0.022521725003266,0.137477270848675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","EUSC","eusc","large",57.048619583043,NA,NA,50.5436666666667,0.190023333333333,62.7166666666667,821.613666666667,3726.573,7.72233333333333,230.413,9.45333333333333,0.847,2.0135,39.603,0.704666666666667,0.332666666666667,13.4558333333333,34.7711666666667,1.18004987017157,NA,NA,0.417440215280387,0.0247649597886476,19.2464848825268,129.691004824287,693.569216532135,3.51966366764402,19.3350973879109,1.33029370190696,0.0601560470775798,0.167114481718372,0.677756040179652,0.101607496442602,0.0160649722481345,0.247682424352907,0.680038295490286,20,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"15","eute","eute","small",56.1497986214264,0.525529820982465,1.90333333333333,50.4786666666667,0.441513333333333,226.056,1983.84233333333,5574.19733333333,1103.58166666667,533.916666666667,25.8533333333333,NA,NA,NA,NA,NA,NA,NA,2.33649469274453,0.0235966743464397,0.476060220280306,0.725442164016769,0.37533109121592,232.837373449797,309.167106978303,2898.10163343754,819.713073677817,611.993083765931,10.0568886010204,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"16","EUTE","eute","large",48.5860945988348,NA,NA,52.2746666666667,0.233136666666667,102.675,131.892333333333,5099.43533333333,12.7616666666667,185.371,18.119,0.793833333333333,2.035,38.4338333333333,0.6735,0.407333333333333,11.1721666666667,38.803,1.44099286592082,NA,NA,1.08012607288841,0.0445439898676952,81.6270489727517,142.392936946793,2092.98783468618,6.99166162892151,103.285671668436,3.82065321640161,0.127673737837244,0.554833984179052,1.92223940583199,0.114816157399558,0.073243315963529,0.363572665822574,3.8649222825304,12,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"17","excu","excu","small",45.3865597792794,0.638798687031621,2.12,50.5723333333333,0.349566666666667,182.119666666667,4634.28633333333,3380.377,794.839666666667,104.014333333333,16.317,NA,NA,NA,NA,NA,NA,NA,2.19742175393211,0.0247403432176671,1.33551488198372,1.23545713536866,0.0423054421243099,29.8299056205904,1732.52253905695,439.53863336799,262.906018056516,10.3901211414176,4.59453120568356,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"18","EXCU","excu","large",46.7327635647167,NA,NA,50.4176666666667,0.197326666666667,107.219,2112.49266666667,4083.153,12.2256666666667,66.5303333333333,6.61866666666667,1.30816666666667,2.2325,39.8425,1.91533333333333,0.500166666666667,16.0426666666667,29.0581666666667,1.51613102075909,NA,NA,0.585943967742082,0.010306184227605,24.9892398643896,345.46235271927,602.389940745196,1.12292712734769,7.99752088670817,1.77319607864819,0.0521352408005692,0.0835224520712845,0.371384908147866,0.387428165384673,0.0286370971527027,0.829154740282738,1.28717610812714,4,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"19","hase","hase","small",43.7206770347161,0.628892700153933,0.753333333333333,49.0395,0.114375,53.247,653.9155,1334.3055,1794.192,119.7765,12.4605,NA,NA,NA,NA,NA,NA,NA,2.20832324237369,0.016045463827584,0.350190424388408,0.11101576464629,0.0135835212665936,20.4778123831624,32.253261610262,177.596232056032,1782.73781773765,2.0286893552242,1.47573185233632,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
"20","isan","isan","small",38.6795761330863,0.679924097188155,0.923333333333333,49.588,0.06088,134.195,1257.07,1059.658,603.424,108.11,23.033,NA,NA,NA,NA,NA,NA,NA,3.85802135709421,0.0264330495716329,0.513939036592216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"21","jasc","jasc","small",42.8858530347664,0.687523686012589,5.04666666666667,51.3883333333333,0.800916666666667,111.506333333333,1314.07033333333,914.968,4208.955,157.198666666667,17.6963333333333,NA,NA,NA,NA,NA,NA,NA,2.06006112949717,0.0161009896057565,1.61963987766828,0.443459505855193,0.0616121013546311,46.5067954640323,423.012953722854,411.051121900914,1585.85534038606,86.6332858798126,10.6235287138188,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"22","JASC","jasc","large",42.3282928522459,NA,NA,51.86,0.58882,92.3443333333333,380.157,738.169666666667,53.7393333333333,192.647,9.05566666666667,1.68866666666667,1.35266666666667,42.4688333333333,1.57683333333333,0.383166666666667,14.152,32.3933333333333,2.35130007941845,NA,NA,0.627612141373953,0.0907753474242869,8.90033506859901,232.080829884762,190.65083617528,21.9956328695797,82.0069249697853,6.30471651490639,0.0216467857506219,0.0783602790534423,1.41116904846064,0.300037636528042,0.0513135784498931,0.457814645899409,1.05334613652557,23,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"23","leer","leer","small",25.7616971791262,0.744893059504094,0.71,49.98,0.26946,47.484,1022.312,3803.806,4339.512,692.971,20.355,NA,NA,NA,NA,NA,NA,NA,1.34079179286807,0.0381020756507218,0.455741154604234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"24","lepa","lepa","small",38.5433602817106,0.681037969604482,2.95333333333333,50.992,0.34985,93.6193333333333,507.896666666667,2279.434,5631.934,158.038,9.39133333333333,NA,NA,NA,NA,NA,NA,NA,1.32187606006984,0.0143226251633181,0.82923659671612,2.60012980445208,0.0362787802992328,51.2002722388596,255.530161838741,521.787895117355,7623.37942952783,80.6942559727766,2.64767451423572,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"25","LEPA","lepa","large",45.8402063097253,NA,NA,53.6,0.2481675,75.25725,216.13375,721.4775,63.44475,41.78025,4.147,1.08633333333333,1.62433333333333,30.9411666666667,1.70333333333333,0.272166666666667,12.2473333333333,47.0228333333333,2.73386004188749,NA,NA,0.551696172423433,0.0174272131545274,54.0957198514818,272.618598908652,284.506698138491,4.7988099479628,18.1678049742762,1.15886237319192,0.110137792484385,0.182252800618628,3.52578687434923,0.489269949346302,0.0561701284788751,0.616483644011205,2.90934744974424,8,NA,NA,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
"26","mede","mede","small",46.3907324212466,0.575611528219552,3.16333333333333,51.7343333333333,0.475813333333333,47.0183333333333,956.763333333333,3043.955,1560.93133333333,306.782666666667,28.025,NA,NA,NA,NA,NA,NA,NA,3.06815824745141,0.039722758004957,0.490849603578666,0.737170491360941,0.0261235532294773,41.716016616323,294.195899907414,532.564803415509,1589.16732368128,80.6094610844988,7.59756546533164,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"27","MEDE","mede","large",49.3757784565733,NA,NA,52.305,0.36265,50.855,438.406,676.656333333333,31.1406666666667,57.2013333333333,4.012,0.751666666666667,1.95233333333333,44.3433333333333,1.53783333333333,0.220833333333333,10.44,37.2111666666667,2.11801873006462,NA,NA,0.505720278414857,0.0101776863775614,13.1319318076207,157.204507072794,49.051301331701,10.7240892076359,10.8245036991695,2.53911165567802,0.0980641796648161,0.512509593406146,2.08068091819321,0.329762919888415,0.0462610347196572,1.16661443930718,1.52868688204397,18,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"28","olst","olst","small",39.7605590077862,0.637717591512792,0.883333333333334,47.673,0.23319,83.578,5014.116,2171.139,8589.504,134.944,40.831,NA,NA,NA,NA,NA,NA,NA,2.7084431505927,0.0184724115410319,0.427356213636041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"29","peli","peli","small",47.4931752391893,0.522862228845835,2.77,51.252,0.202046666666667,142.175333333333,619.626666666667,629.399,1878.773,115.323,21.4136666666667,NA,NA,NA,NA,NA,NA,NA,1.9267918725552,0.0442011967987698,0.798999374217527,0.21385041501012,0.062148823265878,35.8774568264437,429.584393839363,162.510647801921,1518.74423904125,47.490353167775,16.4060677900993,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"30","PELI","peli","large",46.7683026501998,NA,NA,52.939,0.13981,92.7173333333333,309.534666666667,492.347666666667,43.5163333333333,56.4153333333333,19.331,1.34333333333333,1.22716666666667,34.4493333333333,1.9985,0.338666666666667,14.0303333333333,42.5351666666667,2.52664091024916,NA,NA,1.03518162657574,0.00635575329917706,34.7396748449569,79.3329618842845,117.044769470205,12.8963231323247,5.75396674767358,5.08519448988925,0.108018902666771,0.0904493412542808,2.72220670290361,0.0858821867444001,0.0191854979954478,0.778119581641109,3.16713057566835,6,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"31","penu","penu","small",45.5643247283277,0.592377297838106,1.3,48.732,0.14458,311.485,1489.605,584.422,7401.437,79.878,22.762,NA,NA,NA,NA,NA,NA,NA,1.75559868984126,0.0268295806862304,0.0435889894354068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"32","pepu","pepu","small",45.6591706354999,0.621526930477343,2.92666666666667,51.6833333333333,0.12436,60.1483333333333,275.893333333333,1198.484,2123.02133333333,68.3753333333333,65.849,NA,NA,NA,NA,NA,NA,NA,2.6714112092412,0.0445397947352313,0.718076133382341,1.65493695751027,0.0154821800790457,67.8899124048141,166.599342067528,130.834229756589,822.52565749181,9.98748778889533,90.4905427710543,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"33","PEPU","pepu","large",46.7896316101875,NA,NA,50.437,0.0828866666666667,69.3256666666667,466.361666666667,948.524666666667,46.6566666666667,40.029,93.096,0.8335,1.4845,45.1035,0.993333333333333,0.381666666666667,19.8691666666667,26.4276666666667,1.51657223233074,NA,NA,0.181667278286432,0.00895884107088263,84.3928482416214,104.79848728552,204.379212167807,23.0969645696861,8.26284527266486,107.200283567722,0.0987889163823554,0.141399257423793,1.22573447369322,0.0806943822910451,0.0462231904278938,0.345372745498734,0.764660927034548,8,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"34","ripi","ripi","small",50.4006436250079,0.44252585467781,1.15333333333333,49.998,0.40369,18.119,3287.2,6532.354,3218.096,162.635,21.241,NA,NA,NA,NA,NA,NA,NA,1.50220551000084,0.02556127095158,1.17457793838184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
