"","time7","time13","time25","time37","time59"
"Fstat",6.15,10.09,5.43,6.36,4.44
"numdf",7,9,7,10,9
"dendf",79,71,78,73,78
"r.squared",0.35,0.56,0.33,0.47,0.34
