"","total.ASVs","meanSR","sdSR","n.Samps","meanSamps.ASV","sdSamps.ASV","empty.Samps","trim","community"
"1",3297,152.951923076923,58.7372592766621,104,4.82468911131332,8.61446116908767,0,"no","all"
"2",526,18.1442307692308,8.68590898734956,104,3.58745247148289,5.83282618524335,1,"no","basid"
"3",9,0.125,0.386357146511093,104,1.44444444444444,0.52704627669473,93,"no","oo"
"4",129,8.21153846153846,4.14230618409337,104,6.62015503875969,11.968835703642,0,"no","patho"
"5",176,9.03846153846154,4.19875866288906,104,5.34090909090909,10.7585302911677,0,"no","sapro"
"6",146,52.8942307692308,23.8367906344804,104,37.6780821917808,16.2921326186035,0,"yes","all"
"7",15,4.51923076923077,2.55038839315451,104,31.3333333333333,10.8803011162813,3,"yes","basid"
"8",10,4.10576923076923,2.10832040651315,104,42.7,16.6068928125911,1,"yes","patho"
"9",11,4.5,2.38115579343758,104,42.5454545454545,15.945931370501,1,"yes","sapro"
