"","time7","time13","time25","time37","time59"
"Fstat",7.08,2.23,3.65,2.38,2.86
"numdf",1,4,6,4,3
"dendf",34,29,27,28,31
"r.squared",0.17,0.24,0.45,0.25,0.22
