"","part","term","resp","Estimate","Std..Error","df","sumsq","statistic","p.value","etasq"
"64","S1","Zn_s","time37",-0.0257992529241095,0.0166614328901408,1,0.056,2.398,0.126,0.022
"65","S1","size","time59",0.0956017654297559,0.0439159543133926,1,0.127,4.739,0.033,0.04
"66","S1","waterperc_s","time59",-0.0702436767743935,0.0297602403286142,1,0.149,5.571,0.021,0.047
"67","S1","density_s","time59",0.0202641880765506,0.0261036182745131,1,0.016,0.603,0.44,0.005
"68","S1","C_s","time59",0.0820291957836839,0.0206281105906427,1,0.423,15.813,0,0.133
"69","S1","N_s","time59",-0.0174775323540524,0.0195210052708029,1,0.021,0.802,0.373,0.007
"70","S1","P_s","time59",0.0429615260776887,0.0188471349534452,1,0.139,5.196,0.025,0.044
"71","S1","Ca_s","time59",0.041171714282527,0.0212081216837858,1,0.101,3.769,0.056,0.032
"72","S1","Mn_s","time59",-0.0304263636743749,0.0190120578783057,1,0.069,2.561,0.114,0.022
"73","S1","Zn_s","time59",-0.0245645707235963,0.017685792188868,1,0.052,1.929,0.169,0.016
"74","C2","None","w.t50",NA,NA,NA,NA,NA,NA,NA
"75","C2","None","beta",NA,NA,NA,NA,NA,NA,NA
"76","C2","Glucose_s","alpha",0.0342085240514097,0.18504920830348,1,0.003,0.034,0.857,0.004
"77","C2","Lignin_s","alpha",-0.111335394398422,0.18504920830348,1,0.03,0.362,0.562,0.039
"78","C2","Glucose_s","w.r2",0.0191900059658929,0.0366458588696455,1,0.001,0.274,0.613,0.027
"79","C2","Lignin_s","w.r2",-0.0317307814074915,0.0366458588696456,1,0.002,0.75,0.409,0.075
"80","S2","Arabinose_s","time7",-0.0199860210765082,0.00746930564864204,1,0.014,7.16,0.011,0.17
"81","S2","None","time13",NA,NA,NA,NA,NA,NA,NA
"82","S2","Arabinose_s","time25",-0.0290915159713339,0.0191967974059584,1,0.021,2.297,0.141,0.035
"83","S2","Galactose_s","time25",-0.0502321243199114,0.0215439590080723,1,0.05,5.436,0.027,0.083
"84","S2","Glucose_s","time25",0.0416334535488417,0.0219202957435569,1,0.033,3.607,0.068,0.055
"85","S2","Mannose_s","time25",0.0524060326815314,0.0193568618844464,1,0.067,7.33,0.012,0.111
"86","S2","Rhamnose_s","time25",0.0746078304613847,0.0239355761297475,1,0.089,9.716,0.004,0.147
"87","S2","Xylose_s","time25",-0.0858889198426677,0.0265161460786088,1,0.096,10.492,0.003,0.159
"88","S2","Mannose_s","time37",0.075693517027849,0.0285531335415788,1,0.183,7.028,0.012,0.18
"89","S2","None","time59",NA,NA,NA,NA,NA,NA,NA
