"","term","df","Fval","pval"
"1","size",1,1.67,0.016
"2","waterperc",1,1.58,0.021
"3","barkthick",1,1.54,0.032
"4","Residual",29,NA,NA
"5",NA,NA,NA,NA
"6","Constrained inertia",1.79,NA,NA
"7","Unconstrained inertia",9.22,NA,NA
