"","term","df","Fval","pval"
"1","size",1,1.65,0.003
"2","barkthick",1,1.49,0.008
"3","density",1,1.46,0.009
"4","Ca",1,1.43,0.016
"5","Residual",27,NA,NA
"6",NA,NA,NA,NA
"7","Constrained inertia",2.38,NA,NA
"8","Unconstrained inertia",10.35,NA,NA
