"","term","Df","AIC","F","pval"
"+ C","C",1,87.3778050999017,3.09344479897363,0.005
"+ perc.Total.lignin","perc",1,87.3302136526582,1.92428338581978,0.005
"+ N","N",1,87.3025166524907,1.84357162145779,0.005
"+ Mannose","Mannose",1,87.0877326440055,1.95196653224519,0.01
"+ Arabinose","Arabinose",1,87.0112373756683,1.76335385692665,0.01
"+ Rhamnose","Rhamnose",1,87.2149519754377,1.4648157505646,0.05
