order,unique,drill,wetWeightExcess (g),dry WWE,wetWeight ,drilledWeight ,volMass ,volMassRetained,dryMass(piece used to do vol mass),total dry,notes
556,ANBA24,no,123.82,34.83,9.61,0,16.44,1.79,2.39,,"changed to yes drill, but was too rotted!"
559,EXCU37,no,23.49,13.97,138.85,0,193.88,11.72,63,,
561,EUTE17,no,53.2,24.19,334.27,0,369.23,11.39,209.7,,
562,penu2d,yes,0.14,0.13,4.86,4.57,7.69,1.01,3.98,,
565,eusc2i,yes,0.52,0.33,3.19,(2.93 total) 1.58,2.74,0.76,1.48,2.65,total dry from 2.93
584,mede1k,no,1.18,0.31,8.57,0,10.17,0.35,3.99,,
585,acpa4e,no,0.41,0.13,20.5,0,24.91,0.69,13.4,,
588,MEDE23,yes,28.98,9.01,188.36,187,213.56,31.89,66.71,,
592,jasc3d,yes,0.68,0.34,4.57,4.09,5.88,0.94,2.99,,
593,peli3g,no,0.57,0.16,5.93,0,10.34,0.53,3.93,,
596,ripi2b,no,0,0,8.44,0,12.2,0.43,3.15,,
610,peli2e,no,0.64,0.2,6.65,0,10.88,0.51,4.08,,
612,ANBA16,no,46.44,10.7,86.11,0,130.2,3.51,26.29,,
613,LEPA11,yes,36.04,18.07,104.04,(102.79 total) 102.33,104.05,4.14,65.54,65.81,
616,JASC114,no,13.78,7.71,124.63,0,143.2,2.81,69.03,,
618,ripi1f,no,4.88,0.99,1.33,0,1.9,0.3,0.31,,
624,leer6b,yes,0,0,5.55,5.3,6.74,0.82,4.5,,
626,isan1f,no,3.43,1.1,2.17,0,2.34,0.23,1.32,,
631,excu3e,yes,2.57,0.88,13.75,(13.12 total) 12.93,14.85,2.13,7.79,,
633,EUTE15,no,46.77,29.45,359.7,0,405.35,12.71,244.5,,
634,mede3b,no,3.23,1.1,9.19,0,10.91,0.5,4.62,,
639,baae2o,no,2.61,0.73,6.55,0,8.17,0.35,2.21,,
644,EUSC216,no,104.09,45.17,69.09,0,105.06,2.93,47.26,,
658,ALLI37,no,35.58,25.79,201.42,0,275.87,8.64,129.08,,
663,excu3i,no,0,0,18.34,0,23.26,2.69,10.01,,
664,eusc1h,no,0.88,0.21,7.36,0,9.26,0.42,3.88,,
665,ACPA313,no,9.8,5.44,189.35,0,207.68,4.99,111.96,,
671,penu2m,yes,1.2,0.47,5.17,4.87,7.68,1.4,3.72,,
672,ACPA14,no,19.64,14.59,265.06,0,318.13,5.63,172.88,,
687,hase1c,no,5.94,1.53,6.82,0,8,0.6,3.37,,
710,eusc3d,no,0.17,0.03,4.57,0,6.43,0.31,2.78,,
714,EUSC39,no,0,0,219.6,0,319.11,14.9,109.49,,
715,hase2b,no,0,0,0,0,NA,NA,NA,,"completely rotted, no sample"
722,anba3g,no,3.03,1.1,0,0,NA,NA,NA,,all wwe
726,EXCU15,no,25.86,11.83,78.08,0,119.41,2.8,53.39,,
729,BAAE215,no,122.09,31.08,25.64,0,29.49,3.66,4.97,,
732,basp2m,no,3.91,1.42,7.57,0,10.4,0.67,3.59,,
735,EXCU34,no,64.52,14.38,129.85,0,166.93,5.2,65.88,,
736,cota6c,no,0.41,0.25,2.21,0,4.11,0.55,1.86,,
738,MEDE314,no,60.03,23.22,70.28,0,83.14,5.19,42.52,,
743,PELI114,no,7.38,5.23,183.37,0,268.6,22.16,91.26,,
744,pepu2i,no,0,0,15.59,0,19.94,0.57,9.1,,
762,PELI118,no,44.59,29.06,179.6,0,261.39,8.81,92.24,,
766,LEPA41,no,26.27,15.89,93.59,0,105.72,2.68,54.07,,
767,anba3f,no,3.35,1.4,0,0,NA,NA,NA,,all wwe
769,leer10e,yes,0,0,5.46,5.22,7.05,0.84,4.53,,
773,JASC219,no,25.43,13.22,103.22,0,154.68,4.87,72.83,,
775,acel5i,no,1.75,0.57,7.47,0,8.71,1.08,1.92,,
780,lepa1f,yes,4.87,2.76,11.39,10.84,12.82,1.46,7.08,,
781,ALLI17,no,26.98,21.25,270.17,0,326.17,11.56,171.82,,
788,baae1a,no,NA,NA,NA,NA,NA,NA,NA,,missing from plot
792,EUSC36,no,1.05,0.81,182.48,0,285.44,7.92,136.89,,
794,MEDE39,no,15,6.59,155.3,0,192.31,12.8,96.15,,
797,PELI38,no,56.66,41.23,171.71,0,253.15,22.02,111.68,,
801,lepa2d,no,0.83,0.8,4.15,0,4.69,0.75,3.62,,
815,penu2g,no,0.62,0.34,11.87,0,16.61,0.74,6.35,,
818,eute1e,no,0,0,0,0,NA,NA,NA,,missing/rotted
822,alli1i,no,0,0,9.85,0,12.2,0.33,6.29,,
823,jasc3g,yes,2.35,1.12,0.82,0.54,NA,NA,0.43,,
835,ACPA49,no,14.25,11.49,183.33,0,204.04,4.24,126.89,,
842,cali1e,no,0,0,12.01,0,13.72,0.88,4.28,,
844,PEPU22,yes,38.3,17.64,165.22,162.88,233.2,14.24,86.95,,
848,mede1l,no,0.15,0.1,7.48,0,10.49,0.52,4.95,,
858,baae3l,no,3.61,1.07,3.2,0,3.74,0.37,0.95,,
863,jasc2j,no,3.39,1.57,4.03,0,5.62,0.39,1.65,,
865,jasc3a,no,0,0,9.38,0,10.23,0.86,3.87,,
868,acpa1j,no,0,0,7.08,0,8.65,0.52,3.61,,
873,eute1l,no,2.03,0.73,0,0,NA,NA,NA,,all wwe
874,PEPU211,no,56.76,20.03,112.96,0,145.03,7.15,66.89,,
876,penu2b,no,0,0,3.76,0,5.86,0.33,3.07,,
878,ripi2j,no,0,0,1.1,0,2.14,0.45,0.52,,
880,LEPA17,no,33.47,18.99,72.32,0,73.22,1.47,38.14,,
885,leer10b,no,0.11,0.07,10.13,0,10.79,0,4.43,,
890,pepu1h,no,1.94,0.76,9.28,0,10.74,1.35,3.43,,
895,LEPA21,no,8.57,5.31,94.77,0,104.72,5.51,58.47,,
899,leer8c,no,0.97,0.42,3.07,0,4.24,0.35,2.29,,
913,jasc1j,no,0,0,9.04,0,12.99,0.91,3.8,,
915,olst4g,no,0.17,0.13,4.11,0,8.16,0.4,3.19,,
920,peli1e,no,4.63,2.49,3.77,0,5.81,0.36,1.93,,
925,leer1e,no,0,0,5.02,0,5.95,0.34,3.13,,
927,excu2c,no,1.96,0.77,8.74,0,12.01,0.71,3.91,,
931,PEPU113,no,72.88,22.37,81.87,0,97.5,4.07,43.22,,
934,eusc2j,no,0.68,0.44,1.42,0,2.53,0.35,0.88,,
939,penu5b,no,2.88,0.9,1.32,0,1.79,0.33,0.45,,
949,lepa3g,no,0.27,0.2,4.61,0,5.73,0.57,3.14,,
954,ANBA12,no,33.5,19.61,58.87,0,179.35,5.53,39.05,,
955,pepu2l,no,0,0,7.19,0,6.82,2.12,2.57,,
958,PEPU17,no,17.76,9.28,144.21,0,193.34,7.11,74.54,,
971,cali2f,no,0,0,11.33,0,16.04,1.2,8.25,,
973,alli3f,no,0,0,15.94,0,19.21,0.55,11.79,,
981,MEDE32,no,8.39,4.3,145.24,0,182.45,15.23,81.39,,
986,lepa3c,no,2.71,1.23,3.36,0,4.1,0.41,2,,
987,olst4a,no,0,0,3.62,0,8.81,0.65,2.58,,
988,excu3h,no,0,0,11.18,0,15.56,0.57,8.19,,
1013,cali2j,no,0,0,12.45,0,13.78,0.78,4.9,,
411,EUSC21,yes,12.15,4.89,103.69,102.43,139.81,9.75,56.32,,
