"","run","otu1","otu2","sig.residCor"
"227","run1","ITSall_OTUa_4465","ITSall_OTUd_5666",0.105967553594384
"228","run1","ITSall_OTUa_4465","ITSall_OTUd_469",0.160496166363887
"231","run1","ITSall_OTUa_4465","ITSall_OTUd_517",0.115844043548551
"233","run1","ITSall_OTUa_4465","ITSall_OTUd_419",0.123701401739501
"235","run1","ITSall_OTUa_4465","ITSall_OTUd_557",0.139395819904802
"238","run1","ITSall_OTUa_4465","ITSall_OTUd_533",0.136748986430115
"239","run1","ITSall_OTUa_4465","ITSall_OTUd_596",0.080285118534528
"251","run1","ITSall_OTUa_4465","ITSall_OTUd_80",0.0360835215305075
"252","run1","ITSall_OTUa_4465","ITSall_OTUd_83",0.149625922703921
"253","run1","ITSall_OTUa_4465","ITSall_OTUd_85",0.0590388728965774
"255","run1","ITSall_OTUa_4465","ITSall_OTUd_92",0.0410769804635223
"257","run1","ITSall_OTUa_4465","ITSall_OTUd_292",0.0502773289872744
"258","run1","ITSall_OTUa_4465","ITSall_OTUd_308",0.0714995002746669
"259","run1","ITSall_OTUa_4465","ITSall_OTUd_340",0.146885115157506
"260","run1","ITSall_OTUa_4465","ITSall_OTUd_341",0.154513960224925
"261","run1","ITSall_OTUa_4465","ITSall_OTUd_349",0.0959413787399916
"263","run1","ITSall_OTUa_4465","ITSall_OTUd_206",0.0973451613407049
"264","run1","ITSall_OTUa_4465","ITSall_OTUd_217",0.0331357842660604
"265","run1","ITSall_OTUa_4465","ITSall_OTUd_221",0.0854541605922541
"266","run1","ITSall_OTUa_4465","ITSall_OTUd_188",0.0604848930358694
"268","run1","ITSall_OTUa_4465","ITSall_OTUd_222",0.0722093960651373
"269","run1","ITSall_OTUa_4465","ITSall_OTUd_1055",0.161834694203807
"270","run1","ITSall_OTUa_4465","ITSall_OTUd_769",0.173129341257632
"271","run1","ITSall_OTUa_4465","ITSall_OTUd_721",0.104508886388658
"272","run1","ITSall_OTUa_4465","ITSall_OTUd_872",0.186665285333893
"275","run1","ITSall_OTUa_9211","ITSall_OTUa_7145",0.0660766182861516
"282","run1","ITSall_OTUa_9211","ITSall_OTUa_6319",0.11814375535211
"283","run1","ITSall_OTUa_9211","ITSall_OTUa_6382",0.102661172985675
"287","run1","ITSall_OTUa_9211","ITSall_OTUa_9644",0.0547081314349429
"290","run1","ITSall_OTUa_9211","ITSall_OTUa_10362",0.121719100120744
"292","run1","ITSall_OTUa_9211","ITSall_OTUa_9957",0.042003633795332
"302","run1","ITSall_OTUa_9211","ITSall_OTUa_2610",0.111323130084539
"310","run1","ITSall_OTUa_9211","ITSall_OTUa_1435",0.0451744659540732
"314","run1","ITSall_OTUa_9211","ITSall_OTUa_3958",0.085344763740643
"317","run1","ITSall_OTUa_9211","ITSall_OTUa_5220",0.0960024661976607
"323","run1","ITSall_OTUa_9211","ITSall_OTUa_3123",0.0310535856123282
"325","run1","ITSall_OTUa_9211","ITSall_OTUa_3856",0.06469347290871
"327","run1","ITSall_OTUa_9211","ITSall_OTUb_6617",0.0501989543445069
"328","run1","ITSall_OTUa_9211","ITSall_OTUb_6625",0.0677550798019519
"329","run1","ITSall_OTUa_9211","ITSall_OTUb_6268",0.0634378683320324
"332","run1","ITSall_OTUa_9211","ITSall_OTUb_8287",0.117065346625929
"333","run1","ITSall_OTUa_9211","ITSall_OTUb_8000",0.0918533511562327
"334","run1","ITSall_OTUa_9211","ITSall_OTUb_7195",0.136031955199005
"335","run1","ITSall_OTUa_9211","ITSall_OTUb_7600",0.0845293903756195
"337","run1","ITSall_OTUa_9211","ITSall_OTUb_7311",0.0748211105544064
"341","run1","ITSall_OTUa_9211","ITSall_OTUb_2612",0.10033196221641
"343","run1","ITSall_OTUa_9211","ITSall_OTUb_2480",0.0967895555623647
"345","run1","ITSall_OTUa_9211","ITSall_OTUb_2893",0.0420946160198505
"346","run1","ITSall_OTUa_9211","ITSall_OTUb_3013",0.139304969116298
