order,unique,fruitingBodies ,insectDamage,typeInsects,notes
4,excu1f,no,2,-,
10,ripi1b,,,,rotted
11,acpa4k,no,0,-,
16,alli2h,no,0,-,
21,lepa1c,no,0,-,
31,EUTE37,no,0,-,
35,ACPA110,no,3,collembola,picture
40,cali3e,no,0,-,
41,leer3a,no,0,-,
43,peli1k,no,0,-,
50,JASC25,no,1,ants,
55,isan4b,,,,rotted
56,PEPU24,no,0,beetle,
58,acpa4c,no,0,-,picture
60,cali1l,no,1,-,
72,cali2a,no,0,-,
73,PELI113,no,0,-,
77,EUSC16,no,2,-,
80,EXCU19,no,2,-,
92,MEDE28,no,2,ants,
100,basp3c,no,0,-,
104,ANBA15,,,,missing
105,mede1c,no,0,-,
109,olst2j,,,,rotted
113,penu1c,,,,rotted
118,BAAE32,yes,2,-,
127,acel2c,,,,rotted
129,alli1c,no,0,-,
132,EUTE27,no,3,ants,
141,leer9b,no,0,-,
144,acel5k,no,0,-,
161,ANBA114,,,,rotted
163,EUTE318,no,2,beetle,picture
171,peli1c,,,,rotted
172,leer1c,,,,rotted
179,pepu3j,,,,rotted
197,ANBA113,,,,nothing
207,basp3h,,,,rotted
219,mede1b,no,0,-,
220,acpa4f,no,0,-,
227,leer10c,,,,rotted
228,eute3j,no,0,-,
242,jasc1a,no,1,-,
246,acel2g,,,,rotted
250,jasc3b,no,0,-,
252,MEDE214,no,2,ants,
262,cota6e,,,,rotted
276,LEPA46,,,,rotted
284,baae2d,,,,rotted
286,leer8e,,,,rotted
287,pepu3i,,,,rotted
459,ripi3k,no,3,-,?
291,lepa3h,,,,rotted
298,lepa3f,,,,rotted
301,alli2e,no,0,-,
303,ANBA25,no,3,-,
309,acel1k,no,0,-,
320,PEPU15,,,,rotted
321,eute1c,,,,rotted
324,ANBA29,,,,rotted
337,EXCU21,yes,3,-,
339,acpa4g,no,2,-,
340,JASC211,no,1,-,
341,cota2a,,,,rotted
343,ALLI313,yes,2,ants,
345,penu5d,,,,rotted
348,ANBA210,,,,rotted
350,ALLI16,no,2,ants,
353,pepu1k,no,0,-,
365,acpa1g,yes,0,-,picture
366,cota6a,,,,rotted
368,LEPA27,no,1,-,
370,ALLI213,no,3,ants,tag says ALLI113
373,MEDE33,yes,1,-,picture
379,eute1h,no,0,-,
389,EUSC28,no,2,-,
390,ripi2e,,,,rotted / missing
393,anba3h,no,3,-,
394,EUTE317,yes,3,-,
395,baae1e,no,1,-,
396,lepa1l,no,0,-,
397,anba1e,no,3,-,
402,basp3j,no,3,-,
404,ALLI312,yes,0,-,
406,lepa2e,no,0,-,
413,cota2e,no,1,-,
416,PEPU11,no,1,-,
418,MEDE215,no,0,-,
433,pepu3a,no,0,-,
437,hase1i,no,3,-,
443,eusc2l,,,,missing
447,cota5e,no,0,-,
455,basp1a,no,0,-,
461,EXCU311,no,2,collembola,
465,PELI31,no,2,ants,
466,hase3l,no,0,-,
471,ACPA13,no,2,ants,
481,acel5c,no,0,-,
485,BAAE216,,,,rotted
487,olst4i,no,2,-,
488,eute2j,,,,rotted
490,mede2e,no,0,-,
492,cali2b,no,0,-,
504,peli3i,no,3,-,
511,MEDE312,no,3,-,no tag and detached
512,basp3k,no,0,-,
524,pepu1d,no,1,-,
526,ACPA310,no,3,-,
529,eusc3a,,,,rotted
533,mede1f,,,,missing
538,peli2g,no,1,-,
549,peli2f,no,1,-,
550,anba2k,no,2,-,
555,ripi3h,no,1,-,
557,ACPA46,no,3,-,tag missing
566,olst1d,,,,rotted
574,JASC29,yes,1,-,picture
578,baae2a,no,0,-,
583,olst2h,no,0,-,
589,BAAE315,no,2,ants,detached
