order,unique,fruitingBodies ,insectDamage,typeInsects,notes
594,eute3c,,,,rotted
595,EUSC114,no,3,ants,
598,excu3k,no,0,-,picture insect?
600,leer4a,no,0,-,
601,eute1j,,,,rotted
602,ACPA116,no,2,-,
607,PELI11,no,3,-,
617,EUSC312,no,3,-,detached / possible sample
627,EXCU17,no,2,-,
628,excu1e,no,0,-,
632,hase2l,,,,rotted
636,alli2d,no,0,-,
637,baae2l,no,1,-,
645,jasc3h,no,0,-,
648,mede3i,no,0,-,
655,peli1j,no,0,-,
656,jasc1k,no,0,-,
674,penu4d,no,1,-,
677,isan2e,no,0,-,
679,alli3c,no,0,-,
682,EUSC311,no,1,-,
691,anba3b,no,0,-,
695,PELI24,no,3,-,detached
696,PEPU111,no,1,-,
697,lepa2h,no,0,-,
702,excu3d,no,1,-,
723,basp1h,,,,rotted
724,isan3g,no,1,-,
727,EXCU18,no,3,-,
728,excu2b,no,1,-,
747,anba3d,no,1,-,
748,JASC37,no,2,ants,
749,acpa4i,no,0,-,
753,penu3b,,,,rotted
756,EXCU310,no,3,-,tag missing
759,ALLI115,no,2,ants,
761,olst2a,,,,rotted
770,LEPA43,no,1,-,
778,pepu1l,no,,-,only bark left
787,LEPA36,no,0,beetle ants,
789,PELI115,no,2,beetle ants,detached
795,penu2f,no,0,-,
799,eusc2a,,,,rotted
802,cali3d,no,0,-,
806,excu1i,no,1,-,
811,BAAE36,,,,rotted / missing
819,ALLI33,no,2,ants,
824,PEPU310,no,3,-,
833,hase1b,,,,rotted
838,eusc2k,,,,rotted
841,BAAE111,no,1,-,
850,mede2g,no,1,-,
851,hase3g,no,1,-,
853,EUTE311,yes,1,-,picture
864,isan2a,,,,rotted
866,anba1b,,,,rotted
867,EUSC310,no,1,-,
879,ripi1k,no,1,-,
901,jasc2d,no,0,-,
904,hase3a,no,3,-,
905,isan2c,no,0,-,
911,olst1g,no,2,-,
919,PELI39,no,2,-,
921,LEPA31,no,0,beetle,
922,MEDE18,no,1,-,
923,JASC314,yes,3,-,picture
943,isan5d,no,0,-,detached
946,jasc1c,no,0,-,
960,acel1g,no,1,-,
962,baae2j,no,2,-,
963,BAAE27,no,3,-,
968,cali2h,no,0,-,
977,penu3i,no,0,-,
982,JASC18,no,2,bettle,
985,ACPA312,no,2,-,
990,alli3i,no,0,-,
991,cota2g,no,0,-,
992,LEPA16,no,0,-,
993,EUTE115,yes,2,-,picture
998,ripi1d,,,,rotted
1006,eusc3g,no,1,-,
1008,baae2n,no,0,-,
1009,PEPU14,no,3,ants,rotted / tag missing
1011,eusc1b,,,,
,ALLI311,no,0,-,out of position
,baae3c,no,0,-,
