order,unique,drill,wetWeightExcess,dry WWE,wetWeight,drilledWeight ,volMass ,volMassRetained ,dryMassVolPiece,totalDryMass,notes
589,BAAE315,yes,11989,8524,103443,101326,139430,40280,50127,,
594,eute3c,no,,,,,,,,,
595,EUSC114,yes,3050,1512,108644,100386,101730,55630,50924,51900,
598,excu3k,no,0,0,124,,280,150,104,,
600,leer4a,no,0,0,3770,,5570,570,2448,,
601,eute1j,no,,,,,,,,,
602,ACPA116,yes,0,0,151320,150424,189420,29730,86613,,
607,PELI11,yes,259,234,125523,124306,159210,36150,78384,,
617,EUSC312,yes,0,0,159408,157141,233430,35030,94464,,
627,EXCU17,yes,0,0,65821,64809,95250,7940,40256,,
628,excu1e,no,0,0,12879,,16300,1100,6123,,
632,hase2l,no,,,,,,,,,
636,alli2d,no,0,0,5198,,6560,480,2742,,
637,baae2l,no,0,0,1234,,3890,1420,969,,
645,jasc3h,no,0,0,2200,,2850,400,1136,,
648,mede3i,no,0,0,2841,,4290,640,1706,,
655,peli1j,no,504,372,7049,,11700,1810,3843,,
656,jasc1k,no,0,0,2707,,3640,360,888,,
674,penu4d,no,0,0,3601,,6230,820,1479,,
677,isan2e,no,0,0,4090,,5610,540,2802,,
679,alli3c,no,88,61,14847,,16890,1450,6655,,
682,EUSC311,yes,247,182,181017,176201,284660,26780,121754,,
691,anba3b,no,0,0,3027,,4430,720,1249,,
695,PELI24,yes,366,1041,40473,37416,43560,22590,12272,,wet excess > dry excess
696,PEPU111,yes,33350,20001,55216,53715,64120,10740,28390,29111,
697,lepa2h,no,671,505,10873,,12980,1550,5176,,
702,excu3d,no,0,0,11857,,16230,1610,4790,,
723,basp1h,no,,,,,,,,,
724,isan3g,no,0,0,1678,,3220,590,1134,,
727,EXCU18,yes,0,0,52142,50972,73560,19860,32221,,
728,excu2b,no,83,62,6373,,9210,2210,4216,,
747,anba3d,no,46,45,337,,,,158,,too degraded for vol
748,JASC37,yes,0,0,134636,132508,167580,22380,98877,,
749,acpa4i,no,0,0,9904,,11900,1850,5083,,
753,penu3b,no,,,,,,,,,
756,EXCU310,yes,13189,6261,54066,52399,70090,27330,25553,25783,
759,ALLI115,yes,28458,20210,105337,103974,147370,45250,31837,,
761,olst2a,no,,,,,,,,,
770,LEPA43,yes,0,0,47784,46905,61390,23760,27118,,
778,pepu1l,no,39,25,313,,,,256,,too degraded for vol
787,LEPA36,yes,19672,14758,151176,148801,182330,1760,119913,,
789,PELI115,yes,841,630,111734,110800,119320,43070,78126,81361,
795,penu2f,no,0,0,9615,,15710,830,7406,,
799,eusc2a,no,,,,,,,,,
802,cali3d,no,0,0,4736,,7140,660,3920,,
806,excu1i,no,1592,1481,2460,,4680,1690,1904,,
811,BAAE36,yes,,,,,,,,,
819,ALLI33,yes,8499,5885,215563,214252,270700,62960,149273,,
824,PEPU310,yes,12343,10539,104864,102120,140960,48540,63476,,
833,hase1b,no,,,,,,,,,
838,eusc2k,no,,,,,,,,,
841,BAAE111,yes,0,0,44899,43258,83210,32190,24261,,
850,mede2g,no,423,262,4297,,6050,2700,1716,,
851,hase3g,no,0,0,832,,3950,540,596,,
853,EUTE311,yes,0,0,199148,198189,222110,19680,154131,,
864,isan2a,no,,,,,,,,,
866,anba1b,no,,,,,,,,,
867,EUSC310,yes,0,0,133664,131657,212710,35020,90741,,
879,ripi1k,no,563,263,1613,,3990,1310,709,,
901,jasc2d,no,0,0,5911,,13950,5430,3834,,
904,hase3a,no,2358,1134,1507,,2700,840,862,,
905,isan2c,no,0,0,3300,,5290,1220,2516,,
911,olst1g,no,111,156,441,,1180,650,185,,crumbled during volMass
919,PELI39,yes,327,498,148707,147691,218430,69150,89824,,
921,LEPA31,yes,1328,1271,181257,179406,206790,32800,134133,,
922,MEDE18,yes,1433,121,66175,65502,158450,63980,32420,,
923,JASC314,yes,233,141,56217,55516,129720,17210,37582,,
943,isan5d,no,804,339,2574,,4330,680,1670,,
946,jasc1c,no,0,0,456,,1080,58,315,,
960,acel1g,no,0,0,6527,,12020,2410,4055,,
962,baae2j,no,0,0,1675,,3190,1530,1076,,
963,BAAE27,yes,1724,1313,44344,41742,39940,53100,16431,18341,
968,cali2h,no,0,0,10247,,13810,1350,7786,,
977,penu3i,no,0,0,6240,,12790,1200,4436,,
982,JASC18,yes,288,303,88885,87032,165180,27460,62533,,wet excess > dry excess
985,ACPA312,yes,0,0,128321,126336,169340,24690,90515,,
990,alli3i,no,0,0,7896,,12410,1510,5928,,
991,cota2g,no,0,0,3990,,5250,850,1820,,
992,LEPA16,yes,1930,1743,59553,58848,76600,27060,35875,,
993,EUTE115,yes,10069,8500,219553,126336,270730,31760,167298,,
998,ripi1d,no,,,,,,,,,
1006,eusc3g,no,0,0,320,,970,670,253,,
1008,baae2n,no,0,0,5260,,10960,1310,4194,,
1009,PEPU14,yes,13885,10872,63736,59336,64660,75150,18348,18435,
1011,eusc1b,no,,,,,,,,,
,ALLI311,yes,278,379,206348,204803,267300,31550,129560,,wet excess > dry excess
,baae3c,no,0,0,9469,,14640,1900,6733,,
