"","code","community","mean","se","n","upper","lower","k","t50","ne.aic","ne.r2","mean.k","lower.k","upper.k","alpha","beta","w.t50","w.aic","w.r2","mean1.beta","lower1.beta","upper1.beta","mean2.alpha","lower2.alpha","upper2.alpha","Binomial","species","size"
"1","acel","all",177.333333333333,21.6743576093451,3,199.007690942678,155.658975723988,0.231993829979197,2.9878,-101.803075009626,0.837501386830013,0.23275025839774,0.189168796816747,0.279656940031354,1.59947294311516,3.72507699007984,2.9623,-115.573463982309,0.872287052644888,3.76347377606053,3.24795395627106,4.45103094236885,1.64415573753772,1.24851168708842,2.19674240400307,"Acacia elongata","acel","small"
"2","acel","basid",23,3.78593889720018,3,26.7859388972002,19.2140611027998,0.231993829979197,2.9878,-101.803075009626,0.837501386830013,0.23275025839774,0.189168796816747,0.279656940031354,1.59947294311516,3.72507699007984,2.9623,-115.573463982309,0.872287052644888,3.76347377606053,3.24795395627106,4.45103094236885,1.64415573753772,1.24851168708842,2.19674240400307,"Acacia elongata","acel","small"
"3","acel","oo",0,0,3,0,0,0.231993829979197,2.9878,-101.803075009626,0.837501386830013,0.23275025839774,0.189168796816747,0.279656940031354,1.59947294311516,3.72507699007984,2.9623,-115.573463982309,0.872287052644888,3.76347377606053,3.24795395627106,4.45103094236885,1.64415573753772,1.24851168708842,2.19674240400307,"Acacia elongata","acel","small"
"4","acel","patho",15,2.08166599946613,3,17.0816659994661,12.9183340005339,0.231993829979197,2.9878,-101.803075009626,0.837501386830013,0.23275025839774,0.189168796816747,0.279656940031354,1.59947294311516,3.72507699007984,2.9623,-115.573463982309,0.872287052644888,3.76347377606053,3.24795395627106,4.45103094236885,1.64415573753772,1.24851168708842,2.19674240400307,"Acacia elongata","acel","small"
"5","acel","sapro",13.3333333333333,1.66666666666667,3,15,11.6666666666667,0.231993829979197,2.9878,-101.803075009626,0.837501386830013,0.23275025839774,0.189168796816747,0.279656940031354,1.59947294311516,3.72507699007984,2.9623,-115.573463982309,0.872287052644888,3.76347377606053,3.24795395627106,4.45103094236885,1.64415573753772,1.24851168708842,2.19674240400307,"Acacia elongata","acel","small"
"6","acpa","all",143.75,27.5510889077002,4,171.3010889077,116.1989110923,0.149740893981993,4.629,-167.934207022692,0.878069375083005,0.149408039349928,0.128237207005646,0.17219664856604,1.27226958016693,5.72380694375612,4.2912,-171.692966520151,0.88847383023188,5.76564485893975,4.95016341140195,6.74392362179848,1.28792295555673,1.05582729880458,1.61094518500618,"Acacia parramattensis","acpa","small"
"7","acpa","basid",19.5,5.54526825320471,4,25.0452682532047,13.9547317467953,0.149740893981993,4.629,-167.934207022692,0.878069375083005,0.149408039349928,0.128237207005646,0.17219664856604,1.27226958016693,5.72380694375612,4.2912,-171.692966520151,0.88847383023188,5.76564485893975,4.95016341140195,6.74392362179848,1.28792295555673,1.05582729880458,1.61094518500618,"Acacia parramattensis","acpa","small"
"8","acpa","oo",0,0,4,0,0,0.149740893981993,4.629,-167.934207022692,0.878069375083005,0.149408039349928,0.128237207005646,0.17219664856604,1.27226958016693,5.72380694375612,4.2912,-171.692966520151,0.88847383023188,5.76564485893975,4.95016341140195,6.74392362179848,1.28792295555673,1.05582729880458,1.61094518500618,"Acacia parramattensis","acpa","small"
"9","acpa","patho",10.25,2.49582985531199,4,12.745829855312,7.75417014468801,0.149740893981993,4.629,-167.934207022692,0.878069375083005,0.149408039349928,0.128237207005646,0.17219664856604,1.27226958016693,5.72380694375612,4.2912,-171.692966520151,0.88847383023188,5.76564485893975,4.95016341140195,6.74392362179848,1.28792295555673,1.05582729880458,1.61094518500618,"Acacia parramattensis","acpa","small"
"10","acpa","sapro",6.5,0.866025403784439,4,7.36602540378444,5.63397459621556,0.149740893981993,4.629,-167.934207022692,0.878069375083005,0.149408039349928,0.128237207005646,0.17219664856604,1.27226958016693,5.72380694375612,4.2912,-171.692966520151,0.88847383023188,5.76564485893975,4.95016341140195,6.74392362179848,1.28792295555673,1.05582729880458,1.61094518500618,"Acacia parramattensis","acpa","small"
