k,k.upper,k.lower,t70,ne.r2,alpha,species,size,code
0.2427088713324681,0.2486998929538052,0.24229944672223105,1.4696,0.7264589958828924,1.0007575466974863,acel,small,acel
0.12066752931427663,0.1226224015362083,0.11954788986606614,2.9559,0.6894610210019393,0.8468261927789849,acpa,large,ACPA
0.1669101131112978,0.17141963682473227,0.16710314780232632,2.137,0.6714958027500062,0.6544592759525869,acpa,small,acpa
0.16723591571861363,0.1733781081964929,0.1678035578254488,2.1328,0.6160251107726393,0.6533483488686783,alli,large,ALLI
0.17896986886697117,0.1834064424948868,0.17804141903663623,1.993,0.6576357211655763,0.6507415073616144,alli,small,alli
0.43114509042894356,0.43778291992979834,0.4300421523342046,0.8273,0.8821969883785771,1.1637716094786026,anba,large,ANBA
0.39565995764767353,0.4040843637364995,0.39415266578541985,0.9015000000000001,0.8045912541804707,1.213108303223119,anba,small,anba
0.3391447839701185,0.3448038117734943,0.33704502031273154,1.0517,0.810076415991244,1.1462083094210982,baae,large,BAAE
0.3535313668484346,0.361145065700952,0.3538919033070755,1.0089000000000001,0.8154611511530974,1.111265769418333,baae,small,baae
0.27217541509822224,0.2827560926169627,0.27403897955994333,1.3105,0.670142300464164,0.4840532330455123,basp,small,basp
0.23265557122980562,0.23657371082268153,0.22919053016998164,1.5331000000000001,0.6597772857583644,0.7507355058431462,cali,small,cali
0.4310962162228017,0.43447820274031423,0.4250678219468872,0.8274,0.8493408450696299,1.2330164958983163,cota,small,cota
0.2655285462631482,0.26862269505029074,0.26369500920947425,1.3433000000000002,0.8469628659450983,0.9031275611704688,eusc,large,EUSC
0.33839685879638587,0.3472288123647949,0.3389086270881972,1.0541,0.7928733842062603,1.1624232868505668,eusc,small,eusc
0.1409647762303279,0.14457182538139018,0.1411551471071218,2.5303,0.7196451566046609,0.7654264493422102,eute,large,EUTE
0.5085141941589715,0.5162386334123743,0.5057030629955677,0.7015,0.8760707190349951,1.0292986287835402,eute,small,eute
0.2310626398233235,0.23253090900785267,0.22815843116294043,1.5437,0.8328688342397383,1.1993866583331494,excu,large,EXCU
0.2346929690029168,0.24234946863384288,0.23473542941875947,1.5198,0.6543718677961059,0.7275471872762722,excu,small,excu
0.36787764418211955,0.3786126388364991,0.36841851937799963,0.9696,0.7683065040512368,1.1267051776480086,hase,small,hase
0.3238675615320594,0.3300931642445389,0.3221739119467614,1.1013,0.7797739884498975,1.0417618043081303,isan,small,isan
0.21445247737172773,0.2213579236048227,0.21564165638917226,1.6632,0.741437106103875,0.7846910529176961,jasc,large,JASC
0.34339029590476133,0.3510473688103344,0.3420966993823482,1.0387,0.7666649400325766,0.6550835044782665,jasc,small,jasc
0.18028231592463542,0.1857846055085827,0.17877118328886113,1.9785000000000001,0.5343257073280816,0.6028806613593345,leer,small,leer
0.19047465369442065,0.1949110384698789,0.18944572700225215,1.8726,0.6376859000983122,0.6295645079762867,lepa,large,LEPA
0.24177901243307065,0.24524331555384565,0.23864223534545742,1.4753,0.6771682709239766,0.5949784287729479,lepa,small,lepa
0.24240779592904424,0.24856375096670597,0.24133762840747874,1.4714,0.687706333107017,0.6106150387952464,mede,large,MEDE
0.3225242973260567,0.33798941611816874,0.32766314827882453,1.1059,0.6907201558512908,0.6621875707243536,mede,small,mede
0.3541267691331808,0.3570346365831828,0.3506701234249756,1.0072,0.8668639966278717,0.922186699504474,olst,small,olst
0.20929200757735025,0.21328236227774197,0.20786728605327934,1.7042000000000002,0.6646899379469665,0.5169085699149581,peli,large,PELI
0.2975185170303433,0.3014324852941635,0.29430140415931355,1.1989,0.7687870432854428,0.8287213615935118,peli,small,peli
0.3666903874761995,0.37595448145431687,0.3644801555139602,0.9727,0.7354520438333905,0.8032655089850997,penu,small,penu
0.2903330744221432,0.29186337466203377,0.2855870100058497,1.2286000000000001,0.8148189133561692,1.1845142786640728,pepu,large,PEPU
0.27824625921452045,0.2843455266004734,0.2766179822205991,1.2819,0.7279983630691385,0.7853753701246908,pepu,small,pepu
0.4240153506545358,0.4284728476487103,0.4200593190555454,0.8412000000000001,0.8586163616466881,1.6143007186020455,ripi,small,ripi
