"","code","community","mean","se","n","upper","lower","alpha","beta","w.r2","w.t50","size"
"1","acel","all",177.333333333333,21.6743576093451,3,199.007690942678,155.658975723988,0.0668180462363982,0.180231620093962,-0.0453623669469479,0.0898626723279767,"small"
"2","acel","basid",23,3.78593889720018,3,26.7859388972002,19.2140611027998,0.0668180462363982,0.180231620093962,-0.0453623669469479,0.0898626723279767,"small"
"3","acel","oo",0,0,3,0,0,0.0668180462363982,0.180231620093962,-0.0453623669469479,0.0898626723279767,"small"
"4","acel","patho",15,2.08166599946613,3,17.0816659994661,12.9183340005339,0.0668180462363982,0.180231620093962,-0.0453623669469479,0.0898626723279767,"small"
"5","acel","sapro",13.3333333333333,1.66666666666667,3,15,11.6666666666667,0.0668180462363982,0.180231620093962,-0.0453623669469479,0.0898626723279767,"small"
"6","acpa","all",143.75,27.5510889077002,4,171.3010889077,116.1989110923,-0.0108326921135001,0.769610157851743,0.0251132164333913,0.559775056045301,"small"
"7","acpa","basid",19.5,5.54526825320471,4,25.0452682532047,13.9547317467953,-0.0108326921135001,0.769610157851743,0.0251132164333913,0.559775056045301,"small"
"8","acpa","oo",0,0,4,0,0,-0.0108326921135001,0.769610157851743,0.0251132164333913,0.559775056045301,"small"
"9","acpa","patho",10.25,2.49582985531199,4,12.745829855312,7.75417014468801,-0.0108326921135001,0.769610157851743,0.0251132164333913,0.559775056045301,"small"
"10","acpa","sapro",6.5,0.866025403784439,4,7.36602540378444,5.63397459621556,-0.0108326921135001,0.769610157851743,0.0251132164333913,0.559775056045301,"small"
"11","ACPA","all",181.333333333333,21.6204635575754,3,202.953796890909,159.712869775758,0.195869057434088,0.123424533279647,0.0758400337872287,0.264951490086437,"large"
"12","ACPA","basid",19.3333333333333,2.84800124843918,3,22.1813345817725,16.4853320848942,0.195869057434088,0.123424533279647,0.0758400337872287,0.264951490086437,"large"
"13","ACPA","oo",0,0,3,0,0,0.195869057434088,0.123424533279647,0.0758400337872287,0.264951490086437,"large"
"14","ACPA","patho",10.6666666666667,0.333333333333333,3,11,10.3333333333333,0.195869057434088,0.123424533279647,0.0758400337872287,0.264951490086437,"large"
"15","ACPA","sapro",7.33333333333333,0.666666666666667,3,8,6.66666666666667,0.195869057434088,0.123424533279647,0.0758400337872287,0.264951490086437,"large"
"16","alli","all",113.333333333333,23.6807469852152,3,137.014080318549,89.6525863481181,-0.106144888572385,-0.242839903023826,-0.0639245119301033,-0.130102773671629,"small"
