"","community","codeStem","mean","se","n","upper","lower","time13","time25","time37","time59","time7","size"
"1","all","acpa1",169,NA,1,NA,NA,0.0363734811460115,0.0905345418334568,0.0787417021306271,-0.0921202427159935,0.0287714857825103,"small"
"2","all","ACPA1",215,NA,1,NA,NA,0.00166102928936471,0.0500430666792444,0.111123160006823,0.0921587648792889,0.00593786613411,"large"
"3","all","acpa3",86,NA,1,NA,NA,-0.059803414650369,-0.028028385221494,-0.0714355644780653,NA,-0.0629930071171932,"small"
"4","all","ACPA3",141,NA,1,NA,NA,-0.0634011905860516,0.0572232760678094,-0.024029969711269,0.0152461752369119,-0.051724171150552,"large"
"5","all","acpa4",112,NA,1,NA,NA,0.0804103467682142,0.179518280795456,0.161365229093693,0.132395571602845,NA,"small"
"6","all","ACPA4",188,NA,1,NA,NA,-0.0508755504725993,-0.0426200753649515,0.122928604551035,0.083926632082262,0.00698534170864475,"large"
"7","all","alli1",112,NA,1,NA,NA,0.00911133633874658,-0.0635881001004349,0.108754746976943,0.0344833326420297,-0.0524847425831161,"small"
"8","all","ALLI1",227,NA,1,NA,NA,-0.0888331387230077,0.0504979977028259,0.129736090160038,-0.107596553383402,-0.0198796705833691,"large"
"9","all","alli2",155,NA,1,NA,NA,0.00884722238913506,-0.0349373793232263,-0.0621030720727057,-0.0439162463455789,-0.0653000980270234,"small"
"10","all","ALLI2",223,NA,1,NA,NA,-0.0881167931351037,-0.00197249795446347,-0.055921213163895,-0.146333778431435,-0.0495695440057033,"large"
"11","all","alli3",73,NA,1,NA,NA,-0.0118313770404028,0.138130808540502,0.129017989163849,0.0546875677977852,0.0496382303594336,"small"
"12","all","ALLI3",200,NA,1,NA,NA,0.0132577421397836,0.177898751183421,0.155123684100254,0.137757702795593,0.00983964377139429,"large"
"13","all","ANBA1",126,NA,1,NA,NA,0.0469130823455471,-0.0993112554657246,0.0218899165235181,-0.103252571821386,0.0304337987213546,"large"
"14","all","anba2",168,NA,1,NA,NA,0.0308627165408004,0.135059917983965,-0.12428372121498,0.245988270123959,0.0555756158068889,"small"
"15","all","ANBA2",105,NA,1,NA,NA,-0.00872145767451728,-0.0853922566397013,-0.026987938225993,-0.0437921818372272,-0.0403453335760045,"large"
"16","all","anba3",184,NA,1,NA,NA,0.00254886169741527,-0.138897551861865,-0.179413741789988,-0.170205509624361,0.161114826587667,"small"
"17","all","ANBA3",125,NA,1,NA,NA,0.0394700218250452,-0.0319979506582742,-0.175834168506877,NA,0.0318376757759624,"large"
"18","all","baae1",177,NA,1,NA,NA,0.0506733141748187,0.0632058900103907,NA,0.249242374654059,0.0865954346985746,"small"
"19","all","BAAE1",142,NA,1,NA,NA,-0.0069316019842719,0.0466683862383192,NA,0.0176600375126436,-0.0160969184700982,"large"
"20","all","baae2",65,NA,1,NA,NA,-0.0829632797337264,0.000654366564618712,-0.00710971480994673,0.121425341773436,NA,"small"
"21","all","BAAE2",57,NA,1,NA,NA,0.0243190921814269,0.0886198487458135,-0.170175847672548,-0.135248559048893,0.0154381434841812,"large"
"22","all","baae3",190,NA,1,NA,NA,0.0362259117370211,-0.0212052213573875,-0.203766855004044,0.423238394027834,0.0140627428163357,"small"
"23","all","BAAE3",226,NA,1,NA,NA,0.106559336527725,0.131017595092666,0.063386274392452,-0.0688264814343019,0.108285437342288,"large"
"24","all","EUSC1",187,NA,1,NA,NA,0.0363951744341732,-0.0679750085562981,0.0878393459278138,0.0476455305122396,0.0439688525360607,"large"
"25","all","EUSC2",115,NA,1,NA,NA,0.0531864774798676,-0.0716166266083622,0.0920199233117765,0.180854508592521,-0.00311440618062049,"large"
"26","all","EUSC3",22,NA,1,NA,NA,-0.0040820085801737,-0.0335848110319903,0.153036169240948,0.203578705067089,0.0178164923092363,"large"
"27","all","eute1",101,NA,1,NA,NA,NA,-0.155607867169818,-0.208278667507822,-0.138925618405658,-0.0336519172917488,"small"
"28","all","EUTE1",117,NA,1,NA,NA,-0.0179629645275754,0.0654020017641381,0.168833300383115,0.0168446900608532,0.0120364937583679,"large"
"29","all","eute2",72,NA,1,NA,NA,-0.24458318879482,-0.016537418818937,-0.0180421878057269,-0.105341654319056,0.00322671920576053,"small"
"30","all","EUTE2",182,NA,1,NA,NA,NA,0.193162595519858,0.0155499974680097,0.139625629353786,-0.00453234267909563,"large"
"31","all","eute3",96,NA,1,NA,NA,-0.0274305250490313,NA,-0.026007026877433,-0.0551331095477677,-0.00887515023545603,"small"
"32","all","EUTE3",129,NA,1,NA,NA,0.00851420706942605,0.0200696773190684,NA,0.191070805448947,-0.00236784612882528,"large"
"33","all","excu1",80,NA,1,NA,NA,0.0571188892880408,0.123019739304221,NA,0.120763765750768,0.0728977676588253,"small"
"34","all","EXCU1",165,NA,1,NA,NA,0.00447525987627506,-0.0181865935045636,-0.185265237324599,-0.0237817220322947,-0.0205417075070642,"large"
"35","all","excu2",216,NA,1,NA,NA,NA,-0.265869012466226,-0.140479632376766,0.0851238558825723,-0.0248525994466024,"small"
"36","all","EXCU2",228,NA,1,NA,NA,-0.0135782930702487,-0.0187848431298919,-0.0498851164763055,-0.228869804500768,-0.072394143059471,"large"
"37","all","excu3",66,NA,1,NA,NA,0.0325032860814551,-0.0318057639368568,0.197170106391048,-0.130760872526805,NA,"small"
"38","all","EXCU3",223,NA,1,NA,NA,-0.0128259458654235,-0.0509452072000526,-0.131810264178579,-0.144215068925639,-0.0336437319225332,"large"
"39","all","jasc1",174,NA,1,NA,NA,-0.0102976587082132,-0.182987956459948,-0.0605485774202427,-0.0553215969223582,-0.0416185992028152,"small"
"40","all","JASC1",162,NA,1,NA,NA,-0.0518366630196306,-0.00182172976847211,-0.249296994646176,0.0312775574187251,0.00595896189794785,"large"
"41","all","jasc2",149,NA,1,NA,NA,-0.0220573973168988,-0.0237813336058366,0.0100903761945835,0.0569689121300695,0.0624716845937884,"small"
"42","all","JASC2",161,NA,1,NA,NA,-0.0241855511629582,0.0138619824636737,0.0317558045810641,0.0469498770934011,-0.014391148589712,"large"
