"","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin"
"1","acel","acel","small",32.7336267311847,0.558954202037217,2.05,51.1775,0.74868,7.182,651.4925,2806.772,2295.9395,45.1585,9.025,NA,NA,NA,NA,NA,NA,NA
"2","acpa","acpa","small",37.2516022664735,0.699997916887211,1.68,50.68325,0.57537,69.14875,1666.80525,5266.82,3522.069,39.58025,16.18425,NA,NA,NA,NA,NA,NA,NA
"3","ACPA","acpa","large",37.1399430085211,0.699997916887211,1.68,49.393,0.254583333333333,75.3256666666667,744.637666666667,3303.23933333333,23.9816666666667,4.676,3.58,0.783833333333333,1.303,47.756,1.831,0.414,17.2401666666667,24.5175
"4","alli","alli","small",39.7334160419577,0.61880208463851,2.50333333333333,49.894,0.34506,256.087333333333,2928.115,7652.384,1942.10533333333,113.549333333333,13.817,NA,NA,NA,NA,NA,NA,NA
"5","ALLI","alli","large",44.3993179375516,0.61880208463851,2.50333333333333,50.061,0.18033,44.6863333333333,775.932,4842.33533333333,35.5136666666667,59.5966666666667,36.0053333333333,1.18,1.17533333333333,44.6005,1.525,0.345166666666667,16.215,29.5645
"6","anba","anba","small",45.8582815034428,0.504743792791708,1.38,50.063,0.355005,98.9125,3214.2055,6730.3555,5951.617,168.8045,53.2995,NA,NA,NA,NA,NA,NA,NA
"7","ANBA","anba","large",63.534970375481,0.504743792791708,1.38,49.3576666666667,0.298433333333333,142.542,2281.40566666667,5311.014,54.835,104.601,28.524,1.10266666666667,1.73183333333333,42.5593333333333,0.7975,0.349166666666667,13.8345,31.37
"8","baae","baae","small",46.1068719712046,0.54102492789533,1.44,51.617,0.185493333333333,69.862,1775.52033333333,1947.907,1443.026,272.439,4.78033333333333,NA,NA,NA,NA,NA,NA,NA
"9","BAAE","baae","large",60.2618598061767,0.54102492789533,1.44,51.116,0.134983333333333,178.339333333333,1445.119,1393.73733333333,25.6366666666667,160.951,3.90533333333333,0.977333333333333,1.64466666666667,38.6351666666667,0.902,0.342166666666667,13.2636666666667,37.8713333333333
"10","basp","basp","small",41.2038580917218,0.68399472396004,1.54333333333333,51.316,0.18218,95.894,1006.151,893.499,4932.894,189.631,5.359,NA,NA,NA,NA,NA,NA,NA
