"","codeStem","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin"
"19","ANBA2","ANBA","anba","large",64.6042760460643,0.504743792791708,1.38,49.233,0.24054,100.732,1902.772,4533.045,40.627,79.107,20.693,1.0535,1.932,43.4615,0.829,0.352,13.766,30.971
"20","anba3","anba","anba","small",39.1025641025641,0.532588454376164,1.31,50.292,0.38488,103.758,3719.712,9609.697,10649.82,210.916,70.245,NA,NA,NA,NA,NA,NA,NA
"21","ANBA3","ANBA","anba","large",62.5028979443231,0.504743792791708,1.38,49.839,0.30109,132.786,1790.037,7284.056,74.477,64.884,41.114,1.041,1.6015,41.6305,0.7575,0.359,13.9765,32.3475
"22","baae1","baae","baae","small",44.8605577689243,0.540642722117202,1.94,51.547,0.26119,40.513,1783.698,3043.13,484.221,407.7,4.436,NA,NA,NA,NA,NA,NA,NA
"23","BAAE1","BAAE","baae","large",60.7498268677985,0.54102492789533,1.44,51.658,0.14357,162.136,1401.735,2083.124,24.304,243.104,5.175,1.069,1.844,38.3025,0.974,0.3415,12.3495,41.0505
"24","baae2","baae","baae","small",48.0783176214648,0.505144995322732,1.5,50.939,0.13336,0,2039.61,1121.648,1930.762,121.862,3.314,NA,NA,NA,NA,NA,NA,NA
"25","BAAE2","BAAE","baae","large",61.4059496177643,0.54102492789533,1.44,50.865,0.15909,153.557,1428.794,991.282,18.862,138.715,3.577,0.93,1.5625,39.217,0.903,0.3645,13.5575,35.571
"26","baae3","baae","baae","small",45.3817405232248,0.577287066246057,0.879999999999999,52.365,0.16193,169.073,1503.253,1678.943,1914.095,287.755,6.591,NA,NA,NA,NA,NA,NA,NA
"27","BAAE3","BAAE","baae","large",56.9977460597582,0.54102492789533,1.44,50.825,0.10229,219.325,1504.828,1106.806,33.744,101.034,2.964,0.933,1.5275,38.386,0.829,0.3205,13.884,36.9925
"28","basp1","basp","basp","small",39.1982182628062,0.674418604651163,1.46,51.316,0.18218,95.894,1006.151,893.499,4932.894,189.631,5.359,NA,NA,NA,NA,NA,NA,NA
"29","basp2","basp","basp","small",41.1918795022921,0.702061855670103,1.07,51.316,0.18218,95.894,1006.151,893.499,4932.894,189.631,5.359,NA,NA,NA,NA,NA,NA,NA
"30","basp3","basp","basp","small",43.2214765100671,0.675503711558855,2.1,51.316,0.18218,95.894,1006.151,893.499,4932.894,189.631,5.359,NA,NA,NA,NA,NA,NA,NA
"31","cali1","cali","cali","small",41.3125977888073,0.681033636542111,3.35,50.82,0.12946,0,2011.128,1347.053,2024.275,32.084,5.258,NA,NA,NA,NA,NA,NA,NA
"32","cali2","cali","cali","small",40.3003754693367,0.733862959285005,3.19,50.82,0.12946,0,2011.128,1347.053,2024.275,32.084,5.258,NA,NA,NA,NA,NA,NA,NA
"33","cota1","cota","cota","small",25.7956448911223,0.691335740072202,1.17,50.518,0.25475,149.404,336.485,940.237,4755.687,73.073,71.377,NA,NA,NA,NA,NA,NA,NA
"34","cota4","cota","cota","small",29.823310100926,0.670275649022753,1.85,50.518,0.25475,149.404,336.485,940.237,4755.687,73.073,71.377,NA,NA,NA,NA,NA,NA,NA
"35","eusc1","eusc","eusc","small",46.1069762886977,0.581999466453248,1.58,50.5436666666667,0.190023333333333,62.7166666666667,821.613666666667,3726.573,7.72233333333333,230.413,9.45333333333333,NA,NA,NA,NA,NA,NA,NA
"36","EUSC1","EUSC","eusc","large",57.5009356932749,0.573270962131623,1.52,50.26,0.19239,44.103,750.309,4014.477,10.431,217.954,10.634,0.842,1.825,40.2375,0.801,0.3145,13.634,34.472
"37","EUSC2","EUSC","eusc","large",56.2078213063199,0.573270962131623,1.52,50.348,0.21352,82.539,971.312,4229.824,8.992,220.598,8.012,0.9095,2.072,38.889,0.7145,0.345,13.5605,34.292
