"","term","Estimate","Std..Error","t.value","pval","resp","sumsq","df","statistic","p.value","etasq"
"1","Arabinose_s",-0.640003521070096,0.509898203562412,-1.25515939573566,0.277747738047722,"w.t50",1.881,1,1.575,0.278,0.153
"2","Galactose_s",-0.52648556560698,0.643230151576213,-0.818502621988172,0.459028277452605,"w.t50",0.8,1,0.67,0.459,0.065
"3","Glucose_s",0.8377338592394,1.96730885353621,0.425827321283887,0.692146653388062,"w.t50",0.216,1,0.181,0.692,0.018
"4","Mannose_s",0.312217429383124,0.39221285467139,0.79604078669148,0.470579552845264,"w.t50",0.756,1,0.634,0.471,0.061
"5","Rhamnose_s",1.17251885446978,0.698970531753484,1.67749397321276,0.168750364084679,"w.t50",3.359,1,2.814,0.169,0.273
"6","Xylose_s",-0.485007840884473,1.15655392802823,-0.419356010239269,0.696498064458341,"w.t50",0.21,1,0.176,0.696,0.017
"7","Lignin_s",1.41903247803683,2.70800568082383,0.524013848303721,0.62796279194103,"w.t50",0.328,1,0.275,0.628,0.027
"8","Arabinose_s",-0.80491969562878,0.775526099054927,-1.03790149243162,0.357935654921704,"beta",2.975,1,1.077,0.358,0.123
"9","Galactose_s",-0.618493469499436,0.978316390921253,-0.632201888099839,0.56158795874048,"beta",1.104,1,0.4,0.562,0.046
"10","Glucose_s",1.29624219833594,2.99216461277924,0.43321219454298,0.68719844640828,"beta",0.518,1,0.188,0.687,0.021
"11","Mannose_s",0.350591150154974,0.596533392464225,0.587714207760799,0.588300913849,"beta",0.954,1,0.345,0.588,0.04
"12","Rhamnose_s",1.62118625460098,1.06309433149195,1.52496933393089,0.201954696504617,"beta",6.422,1,2.326,0.202,0.266
"13","Xylose_s",-0.494774697280564,1.75905259105429,-0.281273396711818,0.792451252247101,"beta",0.218,1,0.079,0.792,0.009
"14","Lignin_s",2.33611755369023,4.11872226102249,0.567194728277279,0.600898523090343,"beta",0.888,1,0.322,0.601,0.037
"15","Glucose_s",0.0342085240514097,0.18504920830348,0.184861769283054,0.857436115608148,"alpha",0.003,1,0.034,0.857,0.004
"16","Lignin_s",-0.111335394398422,0.18504920830348,-0.601652908537887,0.562252285317966,"alpha",0.03,1,0.362,0.562,0.039
"17","Glucose_s",0.0191900059658929,0.0366458588696455,0.523660969010288,0.613163076176994,"w.r2",0.001,1,0.274,0.613,0.027
"18","Lignin_s",-0.0317307814074915,0.0366458588696456,-0.865876319623518,0.409046358158142,"w.r2",0.002,1,0.75,0.409,0.075
