OTUId,taxonomy,kingdom,phylum,genus,species,Trophic.Mode,Guild
ITSall_OTUa_5620,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Gymnopilus;s__Gymnopilus_lepidotus;,Fungi,Basidiomycota,Gymnopilus,Gymnopilus_lepidotus,Saprotroph,Wood Saprotroph
ITSall_OTUa_5033,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__unclassified_Coniochaetaceae;s__Coniochaetaceae_sp;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_9672,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Incertae_sedis;g__Moristroma;s__Moristroma_japonicum;,Fungi,Ascomycota,Moristroma,Moristroma_japonicum,unclassified,unclassified
ITSall_OTUa_170,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;unclassified;,Fungi,Ascomycota,Trichoderma,unclassified,Saprotroph,Undefined Saprotroph
ITSall_OTUa_1760,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;g__Rhodotorula;unclassified;,Fungi,Basidiomycota,Rhodotorula,unclassified,unclassified,unclassified
ITSall_OTUa_3700,k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;unclassified;,Fungi,Zygomycota,Mortierella,unclassified,Saprotroph,Undefined Saprotroph
ITSall_OTUa_8115,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum;,Fungi,Ascomycota,Fusarium,Fusarium_oxysporum,Pathotroph,Plant Pathogen
ITSall_OTUa_162,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__unclassified_Glomerales;g__unclassified_Glomerales;s__Glomerales_sp;,Fungi,Glomeromycota,unclassified,unclassified,Symbiotroph,Arbuscular Mycorrhizal
ITSall_OTUa_9314,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metacordyceps;s__Metacordyceps_chlamydosporia;,Fungi,Ascomycota,Metacordyceps,Metacordyceps_chlamydosporia,Pathotroph,Animal Pathogen
ITSall_OTUa_5824,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Togniniaceae;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6687,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;g__Sporobolomyces;s__Sporobolomyces_gracilis;,Fungi,Basidiomycota,Sporobolomyces,Sporobolomyces_gracilis,Pathotroph,Mycoparasite
ITSall_OTUa_6688,k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,unclassified,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6690,k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,unclassified,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7079,k__Fungi;p__Basidiomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
