"","term","Estimate","Std..Error","t.value","pval","resp","sumsq","df","statistic","p.value","etasq"
"1","size",0.0432066188100867,0.0151975533828288,2.84299832490829,0.00568601498194325,"time7",0.022,1,8.083,0.006,0.071
"2","waterperc_s",-0.0121981252414876,0.00943355201983264,-1.29305750536414,0.199759793052065,"time7",0.005,1,1.672,0.2,0.015
"3","density_s",0.016254088354934,0.00832534644848434,1.95236179725507,0.0544378695483895,"time7",0.011,1,3.812,0.054,0.034
"4","N_s",-0.0160272159092011,0.00595788991461042,-2.69008258610115,0.00871321653034839,"time7",0.02,1,7.237,0.009,0.064
"5","P_s",-0.0080275830378374,0.00624316436830754,-1.28581958831457,0.202262234018933,"time7",0.005,1,1.653,0.202,0.015
"6","Ca_s",0.0208293173054562,0.00628998122819796,3.31150706969973,0.00140081561658948,"time7",0.03,1,10.966,0.001,0.096
"7","Fe_s",-0.00982663543355879,0.00879057419587179,-1.11786047357106,0.267014527049232,"time7",0.003,1,1.25,0.267,0.011
"8","size",0.0958255288642027,0.0195696379077079,4.89664291777519,5.91212316453482e-06,"time13",0.093,1,23.977,0,0.169
"9","waterperc_s",-0.0466574534401379,0.00943870597188782,-4.94320445822787,4.95181789771351e-06,"time13",0.095,1,24.435,0,0.172
"10","C_s",0.0117827255026038,0.00812683331196191,1.44985445748725,0.151502259187734,"time13",0.008,1,2.102,0.152,0.015
"11","N_s",-0.0151960003470051,0.00822522967273381,-1.84748644738505,0.068842714042701,"time13",0.013,1,3.413,0.069,0.024
"12","P_s",0.00820203679598681,0.00811022886269405,1.01132001757867,0.315297431771452,"time13",0.004,1,1.023,0.315,0.007
"13","Ca_s",0.0218745928104672,0.0075508967122652,2.89695299035616,0.00500642313240701,"time13",0.032,1,8.392,0.005,0.059
"14","Fe_s",-0.0253921488607504,0.0111649239777317,-2.27427870636599,0.0259733782237428,"time13",0.02,1,5.172,0.026,0.036
"15","Mn_s",-0.00717059955121388,0.0101531124675502,-0.706246441584434,0.482346056565825,"time13",0.002,1,0.499,0.482,0.004
"16","Zn_s",-0.00996623632793548,0.0067467083601028,-1.47719981300387,0.144044239551041,"time13",0.008,1,2.182,0.144,0.015
"17","size",0.0816484177841756,0.0373289695343822,2.18726685474059,0.0317581141880462,"time25",0.068,1,4.784,0.032,0.045
"18","waterperc_s",-0.0706564396898929,0.0214240392019718,-3.29799805833952,0.00147554054335137,"time25",0.154,1,10.877,0.001,0.103
"19","density_s",0.00557472204996305,0.0193064702570738,0.288748900018143,0.77354946673614,"time25",0.001,1,0.083,0.774,0.001
"20","K_s",0.024860919789263,0.0160308476561294,1.55081754393427,0.125046087358541,"time25",0.034,1,2.405,0.125,0.023
"21","Ca_s",0.00656755606982106,0.0151907305433347,0.432339712108364,0.666702932623603,"time25",0.003,1,0.187,0.667,0.002
"22","Fe_s",-0.0519674596884221,0.0200123407623463,-2.59677067793089,0.0112677848694631,"time25",0.096,1,6.743,0.011,0.064
"23","Mn_s",-0.00864265148685849,0.0220761741333168,-0.391492268300929,0.696514714891239,"time25",0.002,1,0.153,0.697,0.001
"24","Zn_s",-0.0220577404077179,0.0126316090330814,-1.74623362312354,0.0847585338730866,"time25",0.043,1,3.049,0.085,0.029
"25","size",0.141716597661679,0.0480586809886723,2.94882411972736,0.0042990203227852,"time37",0.206,1,8.696,0.004,0.081
"26","waterperc_s",-0.104144262248928,0.0292660126335574,-3.55853950973534,0.000664700021841155,"time37",0.3,1,12.663,0.001,0.117
"27","density_s",0.0286277023453968,0.0262689880577441,1.0897908317773,0.279439290501828,"time37",0.028,1,1.188,0.279,0.011
"28","barkthick_s",0.0148221825793678,0.0199582617484218,0.742658993363478,0.460104343493676,"time37",0.013,1,0.552,0.46,0.005
"29","C_s",0.0370550332152983,0.0230338245378004,1.60872256166091,0.112053435308703,"time37",0.061,1,2.588,0.112,0.024
"30","P_s",0.0401236725344641,0.0200021086277188,2.00597213430092,0.0486169970015514,"time37",0.095,1,4.024,0.049,0.037
"31","K_s",-0.00326514299814227,0.0257354220180087,-0.126873497386499,0.899394180119836,"time37",0,1,0.016,0.899,0
