"","seq_sampName","percPairs_posCorr","percPairs_negCorr"
"1","EUTE1",5.14030946761081,0.262260687123
"2","EUTE2",7.11500454035575,0.240371775012019
"3","EUTE3",12.6257600884467,0.298507462686567
"4","LEPA1",13.0742808072134,1.83555173894375
"5","LEPA2",19.939856581078,2.96090677770067
"6","LEPA3",2.23519599666389,0.767306088407006
"7","LEPA4",10.0699300699301,3.96270396270396
"8","EUSC1",15.7619392934839,1.34155184916606
"9","EUSC2",14.7107438016529,2.71349862258953
"10","EUSC3",3.33333333333333,0.333333333333333
"11","ANBA1",11.1589566929134,2.55905511811024
"12","ANBA2",19.2627206645898,3.20179993077189
"13","ANBA3",11.5485564304462,2.71216097987752
"14","PELI1",1.86306474149977,0.822853594162397
"15","PELI2",9.13717325931066,1.3763590099468
"16","PELI3",3.62637362637363,0.311355311355311
"17","JASC1",4.93980048159615,0.233918128654971
"18","JASC2",4.33590650025251,0.598802395209581
"19","JASC3",4.27480916030534,0.293599530240752
"20","BAAE1",51.7049808429119,2.26053639846743
"21","BAAE2",22.9323308270677,2.00501253132832
"22","BAAE3",34.1071018156746,1.14150003830537
"23","PEPU1",28.8288288288288,2.16216216216216
"24","PEPU2",23.477361526086,1.10702520493373
"25","PEPU3",38.7326656394453,1.88751926040062
"26","ACPA1",30.9699834363511,0.759503898517351
"27","ACPA3",35.6420581655481,0.187919463087248
"28","ACPA4",28.0465239228126,0.999206978588422
"29","ALLI1",17.8795528308691,0.818608005769924
"30","ALLI2",26.8788784187543,1.06105876043821
"31","ALLI3",19.4194919347049,1.20737950352555
"32","EXCU1",25.5948380158623,1.59295604247883
"33","EXCU2",21.2559917087706,2.37401217774323
"34","EXCU3",17.3243981136759,2.20189341559409
"35","MEDE1",6.03437691835482,0.94536525475752
"36","MEDE2",5.55071200232491,0.668410345829701
"37","MEDE3",2.10516639088068,0.790586504872219
"38","acpa4",54.2825537294564,3.14475347661188
"39","alli2",68.8784971377892,1.53995001209385
"40","alli3",45.2972972972973,3.20720720720721
"41","anba2",17.9805194805195,1.97402597402597
"42","anba3",39.3448159405606,1.51975683890578
"43","baae1",49.9058952097626,1.26282557221784
"44","baae2",35.7543859649123,0
"45","eute3",9.56503813646671,0.226757369614512
"46","excu2",23.4006182942353,0.516457537734133
"47","jasc3",44.8835403726708,3.13664596273292
"48","lepa3",13.8508371385084,5.02283105022831
"49","mede1",18.9574567554932,0.771388499298738
"50","mede2",13.4146341463415,1.04743378722131
"51","peli1",25.109011627907,0.230135658914729
"52","peli2",48.030615755074,1.1437908496732
"53","pepu1",38.8982910237266,1.58287705326033
"54","baspA",40.9889527536586,1.86702539643716
"55","olstB",22.9304441630318,0.938042305707987
"56","isanB",32.1632653061225,4.6530612244898
"57","leerA",44.331804055054,1.89063193725026
"58","cotaB",73.0374957000344,3.60509115927073
"59","olstA",58.0053868023343,3.08992967230286
"60","leerB",35.1840869780084,2.40425006177415
"61","leerC",36.8735380480764,2.65764196486339
"62","cotaA",56.9806451612903,0.774193548387097
"63","baspB",87.985347985348,1.06227106227106
"64","haseA",37.0864270864271,2.0997920997921
"65","ripiB",36.1317603964663,2.26244343891403
"66","baspC",61.3861386138614,1.47544166181324
"67","isanA",12.6674560609227,1.57646676418007
"68","ripiA",43.7250806910955,2.55933168786786
"69","penuA",12.278084876137,0.365593284782545
"70","caliA",46.7787114845938,5.56022408963585
"71","leerD",39.8894055548574,2.20351053579657
"72","haseB",47.0259633085761,2.33606297213229
"73","acelB",55.8437167970637,2.78663189413697
"74","penuB",9.62470612138275,0.235102893797347
"75","leerE",32.3233547448794,2.42394861228942
"76","caliB",38.7290682696436,4.77672820953199
"77","acelA",34.5252190385982,2.62846317783566
"78","eute2",9.09090909090909,0.37593984962406
"79","alli1",62.5629290617849,2.04424103737605
"80","excu3",19.2065663474692,0.109439124487004
"81","lepa4",32.3155216284987,3.33102012491325
"82","acpa1",48.6355692969485,0.840166689071112
"83","pepu2",60.2415128730918,0.797448165869218
"84","eute1",13.3091034960194,2.16337833160263
"85","baae3",36.182923605604,2.83901665344964
"86","hase",56.2345679012346,5.92592592592593
"87","olst",39.4722723503877,2.62888357801297
"88","leer",33.6734032905817,1.4639201969167
"89","pepu3",52.7583108715184,1.77897574123989
"90","isan",14.9735291179702,0.53940665268205
"91","cali",30.7893020221787,4.27732736930389
"92","ripi",21.4540121516866,1.24509891951752
"93","cota",43.1280380321564,3.11949148015597
"94","penu",9.20837124658781,0.149630977656455
"95","mede3",6.45988420181969,0.223325062034739
"96","excu1",49.1224794622853,0.61613144137416
"97","acel",68.3592510314186,2.21093832645721
"98","acpa2",21.3329823175815,1.12325040586196
"99","jasc2",48.7240618101545,1.90728476821192
"100","peli3",28.9165422266468,1.48332503733201
"101","acpa3",55.4806491885144,1.22347066167291
"102","lepa2",27.7830864787386,5.85284280936455
"103","basp",38.5661677358042,1.90662865288667
"104","jasc1",37.788906009245,1.64355418592707
