k,t70,w.t70,ne.r2,ne.aic,w.aic,alpha,code,species,size
0.24270886198037017,1.4696,1.47,0.7264589958828946,-89.02601123793224,-86.88446609196001,1.0007575820096268,acel,acel,small
0.16691011252360718,2.137,2.0696,0.6714958027500058,-113.59857496033752,-116.88202392055864,0.654459282037504,acpa,acpa,small
0.12066752786449482,2.9559,2.96,0.6894610210019388,-183.32936251287822,-184.57237925815537,0.8468261857335204,ACPA,acpa,large
0.17896985104737026,1.993,1.9173,0.6576357211655814,-102.52556922365822,-104.24166637031844,0.6507414579239085,alli,alli,small
0.16723591585322695,2.1328,2.0641000000000003,0.6160251107726393,-125.29019741023153,-129.55224453037675,0.6533483500841926,ALLI,alli,large
0.3956599069436411,0.9015000000000001,1.0307,0.8045912541804645,-73.81547279960026,-73.110862539006,1.2131082736462402,anba,anba,small
0.43114509415086266,0.8273,0.9244,0.8821969883785775,-130.98151931290096,-130.6764142673716,1.1637716336558412,ANBA,anba,large
0.35353137231553156,1.0089000000000001,1.0755000000000001,0.8154611511530973,-89.43107510147622,-87.79068964585619,1.1112657260705896,baae,baae,small
0.33914475815826106,1.0517,1.1428,0.8100764159912426,-107.32381106215502,-105.99539366767654,1.1462083302785513,BAAE,baae,large
0.2721754826836642,1.3105,0.8467,0.6701423004641291,-77.76213661003494,-86.13617874026109,0.4840528319155669,basp,basp,small
0.23265570363125831,1.5331000000000001,1.3806,0.6597772857584847,-77.38974020159387,-76.73932297637478,0.7507356692195158,cali,cali,small
0.4310962263462915,0.8274,0.9592,0.8493408450696297,-87.10609912159941,-87.32135629717965,1.2330164930357417,cota,cota,small
0.33839691506999275,1.0541,1.151,0.792873384206246,-81.74945972549814,-80.52033852818471,1.1624233306946186,eusc,eusc,small
0.26552854211553195,1.3433000000000002,1.2898,0.8469628659450983,-168.8893800825437,-167.5246363776242,0.9031274558846486,EUSC,eusc,large
0.5085141771871665,0.7015,0.7190000000000001,0.8760707190349946,-92.57118519284543,-90.48154182629,1.0292986319355395,eute,eute,small
0.1409647751141396,2.5303,2.6006,0.7196451566046622,-159.0201208808259,-160.14909742204276,0.765426446146469,EUTE,eute,large
0.23469297933110592,1.5198,1.3539,0.6543718677961048,-75.96778258167924,-75.8336410465285,0.7275469994743325,excu,excu,small
0.23106264375106642,1.5437,1.6349,0.8328688342397379,-123.71221281637985,-123.18601679422531,1.1993867168893277,EXCU,excu,large
0.3678776867040613,0.9696,1.0507,0.7683065040512337,-66.87535479921455,-65.18228646348264,1.1267051657764875,hase,hase,small
0.32386752038079814,1.1013,1.1280000000000001,0.7797739884499068,-82.19359711521048,-80.10910825052352,1.0417618408171705,isan,isan,small
0.3433902998734209,1.0387,0.7541,0.7666649400325765,-79.46957941377055,-82.80050467632462,0.65508348940207906,jasc,jasc,small
0.21445244760903392,1.6632,1.5559,0.7414371061038871,-149.2477887361457,-149.1675990930315,0.7846905157739741,JASC,jasc,large
0.18028227549755133,1.9785000000000001,1.8087000000000002,0.5343257073281091,-74.25125824789805,-77.59710787989668,0.6028806625675696,leer,leer,small
0.24177900551194506,1.4753,1.1856,0.6771682709239781,-82.20170961351192,-85.80882454897294,0.5949786341186646,lepa,lepa,small
0.19047463327200426,1.8726,1.7442,0.6376859000983273,-96.19344298150368,-98.47787954143026,0.6295641305316069,LEPA,lepa,large
0.32252429952836276,1.1059,0.8372,0.6907201558512908,-61.62262700000612,-63.169649545714144,0.6621875032612692,mede,mede,small
0.24240777035308717,1.4714,1.193,0.6877063331070183,-107.85541885755812,-111.45481347655047,0.6106151193607603,MEDE,mede,large
0.35412677693870753,1.0072,0.9538000000000001,0.8668639966278715,-106.54624918663339,-104.80241776945304,0.9221866188190125,olst,olst,small
0.29751852250712085,1.1989,1.0768,0.7687870432854422,-88.02393405789398,-86.98198353087511,0.8287214142064937,peli,peli,small
0.2092919355738764,1.7042000000000002,1.361,0.6646899379469666,-94.11257490381837,-103.46173117946259,0.5169085723955205,PELI,peli,large
0.3666901463630195,0.9727,0.8322,0.7354520438332796,-62.78095892435988,-62.010674820632794,0.8032654384359267,penu,penu,small
0.2782462484711602,1.2819,1.1334,0.7279983630691391,-81.381195665155,-80.90111407354132,0.78537524222059,pepu,pepu,small
0.29033307619381504,1.2286000000000001,1.3297,0.8148189133561694,-106.66663237273957,-105.97554618123154,1.1845141518119144,PEPU,pepu,large
0.42401535339921126,0.8412000000000001,1.1434,0.8586163616466881,-88.03109908941326,-101.16418681625007,1.61430065639149,ripi,ripi,small
