"","community","codeStem","mean","se","n","upper","lower","size","time13","time25","time37","time59","time7"
"49","all","LEPA3",108,NA,1,NA,NA,"large",0.0744164110769422,-0.0885742009755902,0.067811968603679,0.415073957064125,0.0741135419442596
"50","all","LEPA4",65,NA,1,NA,NA,"large",-0.00784010758731821,NA,0.176964581495046,-0.252497603682582,-0.0455273051969241
"51","all","mede1",91,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"52","all","MEDE1",174,NA,1,NA,NA,"large",-0.0277283620258118,0.0451360598842972,-0.0370586505760847,-0.0781941879665144,-0.045046737765563
"53","all","mede2",159,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"54","all","MEDE2",172,NA,1,NA,NA,"large",-0.0174045295871941,NA,-0.214048966771823,-0.0022392982648119,-0.0131036962272891
"55","all","mede3",152,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"56","all","MEDE3",143,NA,1,NA,NA,"large",0.0532675793328364,-0.0257598288921611,0.090266069064659,-0.144020728703421,0.0141831122971813
"57","all","peli1",51,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"58","all","PELI1",103,NA,1,NA,NA,"large",-0.0268238468376295,0.0883851058119847,-0.0882004754138279,-0.10026013961294,-0.0635663459819557
"59","all","peli2",102,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"60","all","PELI2",121,NA,1,NA,NA,"large",NA,-0.155691172366064,NA,-0.255791099793412,-0.140670194566127
"61","all","peli3",180,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"62","all","PELI3",101,NA,1,NA,NA,"large",-0.0388345175754374,NA,0.0333553160213016,0.0598506537242653,-0.0265184436673853
"63","all","pepu1",240,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"64","all","PEPU1",109,NA,1,NA,NA,"large",-0.0219507812516982,0.0877641739349737,0.106970016044298,-0.0482304019932278,-0.0103238546876922
"65","all","pepu2",129,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"66","all","PEPU2",222,NA,1,NA,NA,"large",0.0169490743675246,0.0530869724275199,-0.131289432298368,0.0616245912877043,0.0266389044718604
"67","all","pepu3",97,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"68","all","PEPU3",176,NA,1,NA,NA,"large",0.0261753326358087,-0.106991862210042,-0.131067051275377,0.107463535872913,0.00616611368182022
"69","all",NA,177.5,10.6773384115872,36,188.177338411587,166.822661588413,"small",NA,NA,NA,NA,NA
"70","basid","acpa1",20,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"71","basid","ACPA1",25,NA,1,NA,NA,"large",-0.00138679819732471,-0.00344590702296178,0.151742582609904,0.0204441406232944,0.0240617118222821
"72","basid","acpa3",11,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"73","basid","ACPA3",17,NA,1,NA,NA,"large",-0.0246350956716952,0.0300286126154735,0.0852883764182221,0.0330306083426673,-0.028687944393657
"74","basid","acpa4",12,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"75","basid","ACPA4",16,NA,1,NA,NA,"large",0.0352073906636932,1.41249191091327e-06,0.226373160096887,0.0963719647315434,0.0519355937493095
"76","basid","alli1",12,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"77","basid","ALLI1",24,NA,1,NA,NA,"large",-0.0196621438179702,0.156384978829923,0.178553120266486,0.0332637005191792,0.0271474751415853
"78","basid","alli2",17,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"79","basid","ALLI2",23,NA,1,NA,NA,"large",-0.0803598680245759,-0.0725674821661687,-0.132818186088387,-0.204997625597132,-0.00429839259478385
"80","basid","alli3",14,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"81","basid","ALLI3",18,NA,1,NA,NA,"large",0.0712828166832786,0.174620955360667,0.218197071381413,0.168188779506885,0.070861565483158
"82","basid","ANBA1",15,NA,1,NA,NA,"large",-0.0290296042837986,-0.143146130375669,-0.146151203959608,-0.200971706433762,-0.00895966880536467
"83","basid","anba2",11,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"84","basid","ANBA2",8,NA,1,NA,NA,"large",-0.0689161119052862,-0.161435973832984,-0.229646913899067,-0.193062651016472,-0.0688911797410354
"85","basid","anba3",20,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"86","basid","ANBA3",13,NA,1,NA,NA,"large",-0.00384502148788092,-0.119618910303217,-0.285414307324452,NA,0.0230939856843784
"87","basid","baae1",21,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"88","basid","BAAE1",15,NA,1,NA,NA,"large",-0.0304566973492626,-0.0136782385665855,NA,-0.103729738297594,-0.0497801083891046
"89","basid","baae2",5,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"90","basid","BAAE2",6,NA,1,NA,NA,"large",-0.0611885672623495,-0.0106367063473712,-0.2925095061621,-0.285296515263506,-0.039814543310898
"91","basid","baae3",21,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"92","basid","BAAE3",29,NA,1,NA,NA,"large",0.0669300803363335,0.136856580807527,0.0431748425436608,-0.104737829006188,0.0597796802679592
"93","basid","EUSC1",23,NA,1,NA,NA,"large",-0.0103093312475058,-0.0644977423027906,0.0165088750410433,-0.0580872595783388,0.0318452186181509
"94","basid","EUSC2",15,NA,1,NA,NA,"large",0.0210028761677434,-0.0233872748683022,0.0765059992830461,0.147665661189599,-0.0119398606324432
"95","basid","EUSC3",0,NA,1,NA,NA,"large",-0.0412911873500331,-0.0134152186208497,0.121533934069521,0.113841300025697,-0.00773448316414358
"96","basid","eute1",11,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"97","basid","EUTE1",12,NA,1,NA,NA,"large",0.00438388794780288,-0.0355508416420464,0.27572240224673,-0.0578726467732574,-0.0154809709851758
"98","basid","eute2",6,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"99","basid","EUTE2",29,NA,1,NA,NA,"large",NA,0.135310969938294,0.1331261695695,0.152076484843188,-0.023548130708831
"100","basid","eute3",9,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"101","basid","EUTE3",19,NA,1,NA,NA,"large",0.0504145972954337,0.00691310008333362,NA,0.198876860472495,0.00908738235592671
"102","basid","excu1",8,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"103","basid","EXCU1",21,NA,1,NA,NA,"large",0.0371261565888166,0.0337827171326814,-0.154788849982868,0.0369093741705892,0.0138872766756207
"104","basid","excu2",33,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"105","basid","EXCU2",31,NA,1,NA,NA,"large",0.00910086402500308,0.0323737308485944,-0.12119589855132,-0.152794925258833,-0.0184819451891311
